year,sex,age,correction,type
2000,0,3,-0.8739113393148408,prev
2001,0,3,-0.8742777923272388,prev
2002,0,3,-0.8746667036554778,prev
2003,0,3,-0.8750760834464938,prev
2004,0,3,-0.8531931646272108,prev
2005,0,3,-0.8313014653931332,prev
2006,0,3,-0.8094422437261688,prev
2007,0,3,-0.7876548775989343,prev
2008,0,3,-0.7659767539256098,prev
2009,0,3,-0.7423941922950525,prev
2010,0,3,-0.7101813559062643,prev
2011,0,3,-0.6784476504235262,prev
2012,0,3,-0.6472924927802455,prev
2013,0,3,-0.6168045641115631,prev
2014,0,3,-0.5870617359525082,prev
2015,0,3,-0.5581311082324057,prev
2016,0,3,-0.5300692158937862,prev
2017,0,3,-0.5029223457857458,prev
2018,0,3,-0.4767271301587018,prev
2019,0,3,-0.4515109996784588,prev
2020,0,3,-0.4272928349442779,prev
2021,0,3,-0.4040837395297741,prev
2022,0,3,-0.38188764644589995,prev
2023,0,3,-0.3607021171305447,prev
2024,0,3,-0.34051895832893564,prev
2025,0,3,-0.3213250488179973,prev
2026,0,3,-0.3026005821240342,prev
2000,1,3,-0.9636618925686549,prev
2001,1,3,-0.964040506543737,prev
2002,1,3,-0.9644678851255933,prev
2003,1,3,-0.964940837041825,prev
2004,1,3,-0.9434698447801747,prev
2005,1,3,-0.9218367658389561,prev
2006,1,3,-0.9000910405740234,prev
2007,1,3,-0.878280271711375,prev
2008,1,3,-0.8564498632910992,prev
2009,1,3,-0.8325351022765742,prev
2010,1,3,-0.7995111183792434,prev
2011,1,3,-0.7666913785221467,prev
2012,1,3,-0.7342026351973021,prev
2013,1,3,-0.7021604837954841,prev
2014,1,3,-0.6706688291423163,prev
2015,1,3,-0.639819675759667,prev
2016,1,3,-0.6096930864745792,prev
2017,1,3,-0.5803574337886578,prev
2018,1,3,-0.551869881399077,prev
2019,1,3,-0.5242768705617138,prev
2020,1,3,-0.4976148643719667,prev
2021,1,3,-0.47191110022095706,prev
2022,1,3,-0.44718438660692733,prev
2023,1,3,-0.4234459015933704,prev
2024,1,3,-0.4007000425284849,prev
2025,1,3,-0.37894522498419414,prev
2026,1,3,-0.3572096776570973,prev
2000,0,4,-0.8287354894492911,prev
2001,0,4,-0.828843951652507,prev
2002,0,4,-0.8290077096644268,prev
2003,0,4,-0.8292253357043478,prev
2004,0,4,-0.8294949557565727,prev
2005,0,4,-0.8107282033980241,prev
2006,0,4,-0.7920543326387119,prev
2007,0,4,-0.7735097302129906,prev
2008,0,4,-0.7551280591910278,prev
2009,0,4,-0.7369401510366609,prev
2010,0,4,-0.7172598600632943,prev
2011,0,4,-0.6905135522927669,prev
2012,0,4,-0.6643538526522256,prev
2013,0,4,-0.6388538477598763,prev
2014,0,4,-0.6140753144557564,prev
2015,0,4,-0.5900690693192117,prev
2016,0,4,-0.5668755846414043,prev
2017,0,4,-0.5445255202242668,prev
2018,0,4,-0.5230406692294888,prev
2019,0,4,-0.5024345874477878,prev
2020,0,4,-0.482713625546865,prev
2021,0,4,-0.4638776010232945,prev
2022,0,4,-0.44592078165508986,prev
2023,0,4,-0.4288325534766499,prev
2024,0,4,-0.4125981645538256,prev
2025,0,4,-0.3971994800513931,prev
2026,0,4,-0.3820393854495586,prev
2000,1,4,-0.9024920673252735,prev
2001,1,4,-0.9026080757993818,prev
2002,1,4,-0.9028227472616018,prev
2003,1,4,-0.903133770823793,prev
2004,1,4,-0.903537850617299,prev
2005,1,4,-0.884893266885498,prev
2006,1,4,-0.8662286213093536,prev
2007,1,4,-0.8475891152899098,prev
2008,1,4,-0.8290166130939326,prev
2009,1,4,-0.8105494181879781,prev
2010,1,4,-0.7904294575627416,prev
2011,1,4,-0.7627399515841414,prev
2012,1,4,-0.7354375748209921,prev
2013,1,4,-0.7086195284197017,prev
2014,1,4,-0.6823701358665615,prev
2015,1,4,-0.6567610737926947,prev
2016,1,4,-0.6318518802730833,prev
2017,1,4,-0.6076906444434071,prev
2018,1,4,-0.584314886386197,prev
2019,1,4,-0.5617525333361212,prev
2020,1,4,-0.5400229746079748,prev
2021,1,4,-0.5191380239205616,prev
2022,1,4,-0.49910294227455165,prev
2023,1,4,-0.47991734629857535,prev
2024,1,4,-0.461576075224633,prev
2025,1,4,-0.44406995768823604,prev
2026,1,4,-0.426328910009146,prev
2000,0,5,-0.8193987188873355,prev
2001,0,5,-0.8191749654321868,prev
2002,0,5,-0.8190572966204323,prev
2003,0,5,-0.8190469966600292,prev
2004,0,5,-0.819144163203053,prev
2005,0,5,-0.8193477604331948,prev
2006,0,5,-0.8042135783374733,prev
2007,0,5,-0.7892857451602829,prev
2008,0,5,-0.7745909068125524,prev
2009,0,5,-0.760152191402905,prev
2010,0,5,-0.7459891940132646,prev
2011,0,5,-0.730766613683029,prev
2012,0,5,-0.7101311844278028,prev
2013,0,5,-0.6901363264905752,prev
2014,0,5,-0.6708232507642687,prev
2015,0,5,-0.652223007217066,prev
2016,0,5,-0.6343572061125738,prev
2017,0,5,-0.6172390224447976,prev
2018,0,5,-0.6008740591333728,prev
2019,0,5,-0.5852614051504079,prev
2020,0,5,-0.5703945422378323,prev
2021,0,5,-0.556262294051109,prev
2022,0,5,-0.5428496294288692,prev
2023,0,5,-0.530138454516835,prev
2024,0,5,-0.5181082800902601,prev
2025,0,5,-0.5067368249803567,prev
2026,0,5,-0.49509364592239274,prev
2000,1,5,-0.8708281128478839,prev
2001,1,5,-0.8704842568774188,prev
2002,1,5,-0.8703340553106258,prev
2003,1,5,-0.8703793922735582,prev
2004,1,5,-0.870619678425914,prev
2005,1,5,-0.8710519627689183,prev
2006,1,5,-0.8559060386048121,prev
2007,1,5,-0.8409249568483557,prev
2008,1,5,-0.8261414375773041,prev
2009,1,5,-0.8115831969362307,prev
2010,1,5,-0.7972729728225402,prev
2011,1,5,-0.7817909984007275,prev
2012,1,5,-0.7604340768403869,prev
2013,1,5,-0.7396025803769792,prev
2014,1,5,-0.7193533144420798,prev
2015,1,5,-0.699730847850441,prev
2016,1,5,-0.6807684474886371,prev
2017,1,5,-0.6624892111081913,prev
2018,1,5,-0.6449072952913204,prev
2019,1,5,-0.6280291614615502,prev
2020,1,5,-0.6118548104010517,prev
2021,1,5,-0.59637900790828835,prev
2022,1,5,-0.5815922491609243,prev
2023,1,5,-0.5674818163389197,prev
2024,1,5,-0.5540325459668249,prev
2025,1,5,-0.5412275375151896,prev
2026,1,5,-0.527487173815371,prev
2000,0,6,-0.6625794211546725,prev
2001,0,6,-0.6620892020976636,prev
2002,0,6,-0.6617047490622384,prev
2003,0,6,-0.6614308954644817,prev
2004,0,6,-0.6612711288788451,prev
2005,0,6,-0.6612274764972467,prev
2006,0,6,-0.6613005048166304,prev
2007,0,6,-0.6500769253025056,prev
2008,0,6,-0.6391039802384502,prev
2009,0,6,-0.6283975689305176,prev
2010,0,6,-0.6179701597792553,prev
2011,0,6,-0.6078308279277858,prev
2012,0,6,-0.5970149861333979,prev
2013,0,6,-0.5824260842630545,prev
2014,0,6,-0.5684238488034571,prev
2015,0,6,-0.5550232543812278,prev
2016,0,6,-0.5422318218186105,prev
2017,0,6,-0.5300505081118732,prev
2018,0,6,-0.5184746364174632,prev
2019,0,6,-0.5074947764796074,prev
2020,0,6,-0.4970976458877213,prev
2021,0,6,-0.48726686704621464,prev
2022,0,6,-0.4779837500499583,prev
2023,0,6,-0.4692278895104632,prev
2024,0,6,-0.4609777713614018,prev
2025,0,6,-0.453211208460189,prev
2026,0,6,-0.44500939029693454,prev
2000,1,6,-0.6985768017892426,prev
2001,1,6,-0.6978056686110005,prev
2002,1,6,-0.69723233254261,prev
2003,1,6,-0.6968649168127115,prev
2004,1,6,-0.6967086593537214,prev
2005,1,6,-0.696765804883876,prev
2006,1,6,-0.6970355271610517,prev
2007,1,6,-0.6856332276085962,prev
2008,1,6,-0.6744852040169754,prev
2009,1,6,-0.663610671906955,prev
2010,1,6,-0.6530236231684468,prev
2011,1,6,-0.6427329997181801,prev
2012,1,6,-0.6316912992270635,prev
2013,1,6,-0.6164888087711999,prev
2014,1,6,-0.6018196318751226,prev
2015,1,6,-0.5877069002476917,prev
2016,1,6,-0.5741644430477404,prev
2017,1,6,-0.5611979996618328,prev
2018,1,6,-0.5488064656591424,prev
2019,1,6,-0.5369831541196383,prev
2020,1,6,-0.525716931652851,prev
2021,1,6,-0.514993344810949,prev
2022,1,6,-0.5047955845465683,prev
2023,1,6,-0.4951052992913018,prev
2024,1,6,-0.4859033232790082,prev
2025,1,6,-0.4771702137578905,prev
2026,1,6,-0.467400073703611,prev
2000,0,7,-0.5162566826434195,prev
2001,0,7,-0.5155983250253905,prev
2002,0,7,-0.515037183859549,prev
2003,0,7,-0.5145810164505183,prev
2004,0,7,-0.5142362130855612,prev
2005,0,7,-0.5140076496624736,prev
2006,0,7,-0.5138985755726752,prev
2007,0,7,-0.5139105562076037,prev
2008,0,7,-0.5068994227921745,prev
2009,0,7,-0.5001469186280523,prev
2010,0,7,-0.4936575355423664,prev
2011,0,7,-0.4874329151419767,prev
