fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,2.888888888888889,2,1,4
1998,0,M,3.6463414634146343,3,2,4.75
1998,1,F,2.2,2,1,2.5
1998,1,M,2.261904761904762,2,1,3
1998,2,F,2.3846153846153846,2,2,2.75
1998,2,M,1.8695652173913044,1,1,2.75
1998,3,F,2.5454545454545454,2,1,3
1998,3,M,2.409090909090909,2,1,3
1998,4,F,2.6363636363636362,2,2,3
1998,4,M,1.6875,1.5,1,2
1998,5,F,2.8,2,2,4
1998,5,M,2.3333333333333335,2,1,3
1998,6,F,3.4285714285714284,3,2,4.5
1998,6,M,1.9166666666666667,2,1,2
1998,7,F,2.1666666666666665,2,2,2.25
1998,7,M,2.210526315789474,2,2,3
1998,8,F,2.8666666666666667,2,2,4.5
1998,8,M,2.857142857142857,2,1.25,3.75
1998,9,F,2.8461538461538463,2,2,3
1998,9,M,2.2857142857142856,2,1,3
1998,10,F,1.7,2,1,2
1998,10,M,2.272727272727273,2,1,3
1998,11,F,4.2,5,3,5
1998,11,M,2.9375,3,2,3.25
1998,12,F,2.3333333333333335,3,2,3
1998,12,M,2.7857142857142856,3,2,3.75
1998,13,F,3,2.5,1,4.5
1998,13,M,2.1,2,1,3
1998,14,F,0.5,0.5,0.25,0.75
1998,14,M,2.6153846153846154,3,1,3
1998,15,F,2.4,2,2,2.75
1998,15,M,2.25,2,2,2.25
1998,16,F,3,2,2,3
1998,16,M,2.7777777777777777,2,1,4
1998,17,F,2.2,2,1,3
1998,17,M,2.3333333333333335,2,1.5,3
1998,18,F,2.25,2,1.5,2.75
1998,18,M,1.6666666666666667,1,1,1.75
1998,19,F,2.5,1,1,2.5
1998,19,M,3.6666666666666665,3.5,2.25,4.75
1998,20,F,2.25,2,1.75,2.5
1998,20,M,1.5,1.5,1.25,1.75
1998,21,F,2.111111111111111,2,1,2
1998,21,M,0.3333333333333333,0,0,0.5
1998,22,F,2,1,0.5,3
1998,22,M,0.6666666666666666,0,0,1
1998,23,F,3,3,1.75,4.25
1998,23,M,2.75,3,2.5,3.25
1998,24,F,2.3333333333333335,2,2,2.5
1998,24,M,1,1,0.75,1.25
1998,25,F,1.5,1.5,1.25,1.75
