fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,2.3731884057971016,2,1,3
1998,0,M,2.6153846153846154,2,1,3
1998,1,F,2.01980198019802,2,1,2
1998,1,M,2.011904761904762,2,1,2
1998,2,F,1.8342245989304813,2,1,2
1998,2,M,1.7987117552334944,2,1,2
1998,3,F,1.8636363636363635,2,1,2
1998,3,M,1.7392290249433107,2,1,2
1998,4,F,1.9838709677419355,2,1,2
1998,4,M,1.8841309823677581,2,1,2
1998,5,F,1.8308823529411764,2,1,2
1998,5,M,1.95703125,2,1,3
1998,6,F,2.425531914893617,2,1,3
1998,6,M,1.9704433497536946,2,1,2.5
1998,7,F,1.8533333333333333,2,1,2
1998,7,M,2.013157894736842,2,1,3
1998,8,F,2.0555555555555554,2,1,3
1998,8,M,1.9583333333333333,2,1,2
1998,9,F,2.546875,2,1.75,3
1998,9,M,1.8350515463917525,2,1,2
1998,10,F,2.289855072463768,2,1,3
1998,10,M,2.088888888888889,2,1,3
1998,11,F,2.735632183908046,2,2,3
1998,11,M,2.36231884057971,2,1,3
1998,12,F,1.8979591836734695,2,1,3
1998,12,M,2.4725274725274726,2,1,3
1998,13,F,2.381818181818182,2,1,3
1998,13,M,2.6271186440677967,2,1,3
1998,14,F,3.24,3,1.25,4
1998,14,M,2.2857142857142856,2,1,3
1998,15,F,2.311688311688312,2,1,3
1998,15,M,2.1219512195121952,2,1,3
1998,16,F,2.492063492063492,2,1,3
1998,16,M,2.9047619047619047,2,2,3.75
1998,17,F,2.1515151515151514,2,1,3
1998,17,M,2.1578947368421053,2,1,3
1998,18,F,2.6533333333333333,2,1,4
1998,18,M,2.259259259259259,2,1,3
1998,19,F,2.3947368421052633,2,1,3
1998,19,M,2.064516129032258,2,1,2.5
1998,20,F,3.5,2,1,4
1998,20,M,2.2666666666666666,2,1,3
1998,21,F,2.314814814814815,2,1,3
1998,21,M,2,2,1,2
1998,22,F,2.151898734177215,2,1,3
1998,22,M,2,2,1,3
1998,23,F,2.356164383561644,2,1,3
1998,23,M,2.1666666666666665,2,1,3
1998,24,F,2.7884615384615383,2,1.75,3
