fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.4545454545454546,3,2.5,4
1998,0,M,3.7857142857142856,3,2,5
1998,1,F,3,3,2,4
1998,1,M,2.40625,2,2,3
1998,2,F,3,2,1,5
1998,2,M,2.55,2.5,1.75,3.25
1998,3,F,1.875,1.5,1,2.25
1998,3,M,2.909090909090909,2,2,2.5
1998,4,F,1.8571428571428572,2,1,2.5
1998,4,M,2,2,1.75,2.25
1998,5,F,2.2,2,2,2
1998,5,M,2.8,2,1.25,3.5
1998,6,F,2.2,2,1,2
1998,6,M,2.8,3,1,3
1998,7,F,4,4,4,4
1998,7,M,2,1,1,2.5
1998,8,F,2,2,2,2
1998,8,M,2,2,2,2
1998,9,F,5.2,3,2,7
1998,9,M,2.5,2.5,2.25,2.75
1998,10,F,2.857142857142857,3,1.5,3
1998,10,M,2,2,2,2
1998,11,F,3,4,2,4.5
1998,11,M,3,2,1.75,3.25
1998,12,F,4,2.5,1.75,4.75
1998,12,M,1.6666666666666667,2,1.5,2
1998,13,F,5,5.5,4.5,6
1998,13,M,2.75,2.5,1,4.25
1998,14,F,3,3,2.5,3.5
1998,14,M,10,4,3.5,13.5
1998,15,F,3,3,2.5,3.5
1998,15,M,4.857142857142857,3,2,6.5
1998,16,F,2,2,2,2
1998,17,F,4.25,3.5,2.75,5
1998,17,M,7,7,5,9
1998,18,F,3,3,2.5,3.5
1998,18,M,6,6,6,6
1998,19,F,2.5,2.5,2.25,2.75
1998,19,M,4,4,4,4
1998,21,F,4.5,4.5,4.25,4.75
1998,22,F,1,1,1,1
1998,23,F,1.6666666666666667,2,1,2.5
1998,23,M,4,4,4,4
1998,24,F,1,1,1,1
1998,25,F,17.333333333333332,21,11,25.5
1998,26,F,2.5,2.5,2.25,2.75
1998,28,F,6,6,5.5,6.5
1998,28,M,4,4,4,4
1998,30,F,4.5,4.5,3.25,5.75
1998,31,M,1,1,1,1
1998,32,F,2,2,2,2
1998,33,F,2.3333333333333335,3,2,3
