age,prob_death,se,sex,year,province
0,6.0600000000000003E-3,3.5E-4,M,1996,CA
1,4.4000000000000002E-4,9.0000000000000006E-5,M,1996,CA
2,3.3E-4,8.0000000000000007E-5,M,1996,CA
3,2.5999999999999998E-4,6.9999999999999994E-5,M,1996,CA
4,2.1000000000000001E-4,6.0000000000000002E-5,M,1996,CA
5,1.8000000000000001E-4,6.0000000000000002E-5,M,1996,CA
6,1.6000000000000001E-4,5.0000000000000002E-5,M,1996,CA
7,1.3999999999999999E-4,5.0000000000000002E-5,M,1996,CA
8,1.3999999999999999E-4,5.0000000000000002E-5,M,1996,CA
9,1.2999999999999999E-4,5.0000000000000002E-5,M,1996,CA
10,1.3999999999999999E-4,5.0000000000000002E-5,M,1996,CA
11,1.4999999999999999E-4,5.0000000000000002E-5,M,1996,CA
12,1.7000000000000001E-4,6.0000000000000002E-5,M,1996,CA
13,2.2000000000000001E-4,6.0000000000000002E-5,M,1996,CA
14,2.9E-4,6.9999999999999994E-5,M,1996,CA
15,4.0999999999999999E-4,9.0000000000000006E-5,M,1996,CA
16,5.6999999999999998E-4,1E-4,M,1996,CA
17,7.2000000000000005E-4,1.2E-4,M,1996,CA
18,8.4000000000000003E-4,1.2999999999999999E-4,M,1996,CA
19,9.3000000000000005E-4,1.2999999999999999E-4,M,1996,CA
20,9.8999999999999999E-4,1.3999999999999999E-4,M,1996,CA
21,1.0399999999999999E-3,1.3999999999999999E-4,M,1996,CA
22,1.06E-3,1.3999999999999999E-4,M,1996,CA
23,1.06E-3,1.3999999999999999E-4,M,1996,CA
24,1.0300000000000001E-3,1.3999999999999999E-4,M,1996,CA
25,9.8999999999999999E-4,1.2999999999999999E-4,M,1996,CA
26,9.7999999999999997E-4,1.2999999999999999E-4,M,1996,CA
27,9.7999999999999997E-4,1.2999999999999999E-4,M,1996,CA
28,1.01E-3,1.2999999999999999E-4,M,1996,CA
29,1.0499999999999999E-3,1.2999999999999999E-4,M,1996,CA
30,1.1100000000000001E-3,1.2999999999999999E-4,M,1996,CA
31,1.1900000000000001E-3,1.2999999999999999E-4,M,1996,CA
32,1.2600000000000001E-3,1.2999999999999999E-4,M,1996,CA
33,1.34E-3,1.3999999999999999E-4,M,1996,CA
34,1.41E-3,1.3999999999999999E-4,M,1996,CA
35,1.48E-3,1.4999999999999999E-4,M,1996,CA
36,1.5499999999999999E-3,1.4999999999999999E-4,M,1996,CA
37,1.6299999999999999E-3,1.4999999999999999E-4,M,1996,CA
38,1.7099999999999999E-3,1.6000000000000001E-4,M,1996,CA
39,1.7899999999999999E-3,1.6000000000000001E-4,M,1996,CA
40,1.8699999999999999E-3,1.7000000000000001E-4,M,1996,CA
41,1.97E-3,1.8000000000000001E-4,M,1996,CA
42,2.0799999999999998E-3,1.8000000000000001E-4,M,1996,CA
43,2.2200000000000002E-3,1.9000000000000001E-4,M,1996,CA
44,2.3700000000000001E-3,2.0000000000000001E-4,M,1996,CA
45,2.5500000000000002E-3,2.1000000000000001E-4,M,1996,CA
46,2.7599999999999999E-3,2.2000000000000001E-4,M,1996,CA
47,3.0100000000000001E-3,2.3000000000000001E-4,M,1996,CA
48,3.3E-3,2.4000000000000001E-4,M,1996,CA
49,3.63E-3,2.5999999999999998E-4,M,1996,CA
50,4.0200000000000001E-3,2.9E-4,M,1996,CA
51,4.47E-3,3.2000000000000003E-4,M,1996,CA
52,4.9699999999999996E-3,3.4000000000000002E-4,M,1996,CA
53,5.5100000000000001E-3,3.6000000000000002E-4,M,1996,CA
54,6.11E-3,4.0000000000000002E-4,M,1996,CA
55,6.7799999999999996E-3,4.2000000000000002E-4,M,1996,CA
56,7.5199999999999998E-3,4.6000000000000001E-4,M,1996,CA
57,8.3300000000000006E-3,4.8999999999999998E-4,M,1996,CA
58,9.2200000000000008E-3,5.1999999999999995E-4,M,1996,CA
59,1.0200000000000001E-2,5.5999999999999995E-4,M,1996,CA
