fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.6065573770491803,2,2,5
1998,0,M,3.0056818181818183,2,2,4
1998,1,F,2.625,2,1,3
1998,1,M,2.2285714285714286,2,1,3
1998,2,F,2.152173913043478,2,1,3
1998,2,M,1.9887640449438202,2,1,2
1998,3,F,1.9565217391304348,2,1,2
1998,3,M,1.991304347826087,2,1,2
1998,4,F,1.8076923076923077,2,1,2
1998,4,M,1.8725490196078431,2,1,2
1998,5,F,2.5172413793103448,2,1,3
1998,5,M,1.625,1,1,2
1998,6,F,2.1666666666666665,2,1,2
1998,6,M,2.1,2,1,3
1998,7,F,2.193548387096774,2,1,3
1998,7,M,2.4745762711864407,2,1,3
1998,8,F,2.3777777777777778,2,2,3
1998,8,M,2.240740740740741,2,1.25,3
1998,9,F,2.3333333333333335,2,1.25,3
1998,9,M,2.3333333333333335,2,1,3
1998,10,F,2.161290322580645,2,1,3
1998,10,M,2.5121951219512195,3,1,3
1998,11,F,2.740740740740741,2,2,3
1998,11,M,2.1666666666666665,2,1,3
1998,12,F,3.6666666666666665,2,1,3
1998,12,M,2.3333333333333335,2,1,3
1998,13,F,2.3703703703703702,2,1.5,3
1998,13,M,2.282051282051282,2,1.5,3
1998,14,F,2.75,2,1.75,3
1998,14,M,2.4054054054054053,2,1,3
1998,15,F,3.28,3,2,5
1998,15,M,2.4761904761904763,2,1,3
1998,16,F,2.1724137931034484,2,1,3
1998,16,M,3.7058823529411766,2,2,5
1998,17,F,2.608695652173913,2,2,3
1998,17,M,2.3684210526315788,2,1,3
1998,18,F,2.6363636363636362,2,1,4
1998,18,M,1.5,1.5,1,2
1998,19,F,2.8636363636363638,3,2,4
1998,19,M,2.1,2,1.25,2.75
1998,20,F,2.5757575757575757,2,2,3
1998,20,M,2.8333333333333335,2.5,2,3.5
1998,21,F,2.4482758620689653,3,1,3
1998,21,M,2.0833333333333335,1.5,1,2.25
1998,22,F,2.142857142857143,2,1,3
1998,22,M,2.2,2,1,2.25
1998,23,F,2.5217391304347827,2,1.5,3
1998,23,M,2.9375,2,1,2.25
1998,24,F,3.076923076923077,3,1,4.75
1998,24,M,2.25,1.5,1,2
1998,25,F,2.8536585365853657,2,1,4
1998,25,M,1.875,1,1,3
1998,26,F,2.5384615384615383,1,1,2
1998,26,M,3.7142857142857144,2,1,6.5
1998,27,F,2.4583333333333335,2,1,3
1998,27,M,2.375,2.5,1,3.25
1998,28,F,2.5,2,1,3
1998,28,M,2.4285714285714284,2,2,2
1998,29,F,4.733333333333333,3,1,4
1998,29,M,2,1,1,3
1998,30,F,3.3529411764705883,3,2,4
1998,30,M,2.1666666666666665,1,1,3.25
1998,31,F,1.6923076923076923,1,1,2
1998,31,M,2.4444444444444446,2,1,3
1998,32,F,4.5,2.5,2,4.75
1998,32,M,2.6666666666666665,2.5,0.75,4
1998,33,F,2.85,3,1.75,4
1998,33,M,6.428571428571429,3,2,4.75
1998,34,F,3.3333333333333335,3,2,4
1998,34,M,2.2222222222222223,2,2,3
1998,35,F,2.45,2,1.75,2
1998,35,M,2.090909090909091,1,1,2.5
1998,36,F,3.484848484848485,3,2,4
