fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,2.6346153846153846,2,1,3
1998,0,M,2.5839416058394162,2,1,3
1998,1,F,1.9619047619047618,2,1,2
1998,1,M,2.0894941634241246,2,1,2
1998,2,F,1.9831932773109244,2,1,3
1998,2,M,1.726829268292683,1,1,2
1998,3,F,1.9870129870129871,2,1,3
1998,3,M,1.8355263157894737,2,1,2
1998,4,F,1.5294117647058822,1,1,2
1998,4,M,1.7802197802197801,2,1,2
1998,5,F,2.8974358974358974,2,1,3
1998,5,M,1.8513513513513513,2,1,3
1998,6,F,2.2857142857142856,2,1,2
1998,6,M,1.9811320754716981,2,1,3
1998,7,F,2.1481481481481484,2,1,3
1998,7,M,2,2,1,3
1998,8,F,2.7,2,1.75,3
1998,8,M,2.1379310344827585,2,1,2
1998,9,F,2.2666666666666666,2,1,3.5
1998,9,M,2.739130434782609,3,1,3
1998,10,F,2.1666666666666665,2,1,3
1998,10,M,2.392857142857143,2,1,3
1998,11,F,2.375,2,1,3
1998,11,M,2.5238095238095237,2,2,3
1998,12,F,2.7142857142857144,2,1,3
1998,12,M,3.3181818181818183,3,2,4
1998,13,F,2.3333333333333335,2,1,3.5
1998,13,M,2.2,2,1,2
1998,14,F,3.1,3,2,4.25
1998,14,M,2.9166666666666665,3,2,3.25
1998,15,F,3.6666666666666665,3.5,1.75,5
1998,15,M,2.3333333333333335,3,1,3
1998,16,F,2.642857142857143,3,1.25,3.75
1998,16,M,1.6428571428571428,1,1,2
1998,17,F,2.473684210526316,2,1,3.5
1998,17,M,2.8333333333333335,1.5,0.25,3.5
1998,18,F,2.736842105263158,2,1,4
1998,18,M,1.375,1,1,2
1998,19,F,1.8666666666666667,2,1,2
1998,19,M,1.3333333333333333,1.5,1,2
1998,20,F,3.230769230769231,3,1,5
1998,20,M,1.6,1.5,1,2
1998,21,F,2.736842105263158,1,1,3.5
1998,21,M,1.4,2,1,2
1998,22,F,2.217391304347826,2,1,2.5
1998,22,M,1.5,1.5,1,2
1998,23,F,2.933333333333333,2,1.5,3
1998,23,M,3,2,2,3
1998,24,F,2.5,2,1,4
1998,24,M,2.347826086956522,1,1,4
1998,25,F,2.6875,1.5,1,3.25
1998,25,M,1.3636363636363635,1,1,2
1998,26,F,3.526315789473684,2,1,3
1998,26,M,2.5,2.5,1.25,3
1998,27,F,3.5217391304347827,2,1,4.5
1998,27,M,1.8125,1.5,1,2
1998,28,F,4.2272727272727275,2.5,2,4.75
1998,28,M,3.4285714285714284,2,1,3.5
1998,29,F,2.4583333333333335,2,1,3.25
1998,29,M,2.6666666666666665,2,2,2
1998,30,F,3.625,2,1,5
1998,30,M,1.6666666666666667,1,1,2
1998,31,F,9.875,4.5,1,10.25
1998,31,M,1.3,1,1,2
1998,32,F,6.04,3,2,5
1998,32,M,2,2,1.5,2.5
1998,33,F,2.8181818181818183,2,1,3
1998,33,M,3.9,2.5,2,3.75
1998,34,F,2.9047619047619047,2,1,4
1998,34,M,1.75,1,1,2.25
1998,35,F,3.92,2,1,5
1998,35,M,2.3333333333333335,2,1,2.5
1998,36,F,4.035714285714286,3.5,2,6
1998,36,M,4.3,4,2,7
1998,37,F,4.45,3,2,6.25
1998,37,M,2.7,2.5,1,4
1998,38,F,3.526315789473684,3,1.5,4.5
1998,38,M,1.4285714285714286,1,1,1.5
1998,39,F,3,2,1,4.5
1998,39,M,6.3125,1.5,1,4
1998,40,F,3.739130434782609,3,1.5,4
1998,40,M,4.368421052631579,3,2,7.5
1998,41,F,4.809523809523809,3,2,6
1998,41,M,4.25,3,2,5.25
1998,42,F,4.95,4,3,5.75
1998,42,M,4,3.5,2,5
1998,43,F,3.380952380952381,2,1,5
1998,43,M,2,1,1,2.75
1998,44,F,3.52,3,1,5
1998,44,M,3.7,2.5,1,6.75
1998,45,F,4.166666666666667,2.5,2,4.75
1998,45,M,2.1,1.5,1,2.75
1998,46,F,4.85,4.5,2,7.5
1998,46,M,4.166666666666667,3,1,5
1998,47,F,5.621621621621622,3,2,7
1998,47,M,3.5,2,2,3.5
1998,48,F,5.117647058823529,3,2,8
1998,48,M,3.2222222222222223,3,2,4
1998,49,F,5.96969696969697,5,2,6
1998,49,M,4.6,5,4,5
1998,50,F,3.923076923076923,3.5,2,5
1998,50,M,2.3333333333333335,2,1,3
1998,51,F,4.805555555555555,4,2,6
1998,51,M,3.2222222222222223,3,2,5
1998,52,F,4.1875,4,1.75,7
1998,52,M,3,3,1,4
1998,53,F,4.777777777777778,4.5,2,7
1998,53,M,4.5,3.5,2,4.75
1998,54,F,3.260869565217391,3,2,4.5
1998,54,M,4.375,4.5,2.75,5.25
1998,55,F,5.793103448275862,4,2,9
1998,55,M,4.588235294117647,4,3,6
1998,56,F,4,3,1,5
1998,56,M,6,5.5,2.75,7.5
1998,57,F,6.931034482758621,5,4,9
1998,57,M,3.8421052631578947,4,2,5
1998,58,F,5.2272727272727275,5,3,8
1998,58,M,4,2,1,6.25
1998,59,F,6.7272727272727275,5,4,9
1998,59,M,4,4,3,5
1998,60,F,5.5,4,3,6.25
1998,60,M,3.5,2.5,1.75,5.25
1998,61,F,5.208333333333333,4,2,7
1998,61,M,2.3333333333333335,2.5,1,3.25
1998,62,F,4.333333333333333,4,3,5
1998,62,M,4.733333333333333,3,2.5,6
1998,63,F,8.272727272727273,5,2,7.5
1998,63,M,3.8,3,2,4
1998,64,F,5.136363636363637,3.5,2,6
1998,64,M,6.166666666666667,5.5,3,7.25
1998,65,F,5.409090909090909,5.5,3,7.75
1998,65,M,5.909090909090909,3,1.25,4.75
1998,66,F,4.611111111111111,5,2,7
1998,66,M,4.2105263157894735,2,2,4.5
1998,67,F,8.083333333333334,6.5,4,11.25
1998,67,M,6.3076923076923075,7,4,8
1998,68,F,5.473684210526316,4,2,9.5
1998,68,M,4.230769230769231,4,1,5
1998,69,F,5.928571428571429,4,3,7
1998,69,M,4.071428571428571,2.5,1,5.75
1998,70,F,5.529411764705882,6,4,7
1998,70,M,11.142857142857142,6,3.5,10.5
1998,71,F,8.277777777777779,4,3,8.5
1998,71,M,6.454545454545454,4,2.5,8.5
1998,72,F,8.76,4,3,8
1998,72,M,5.611111111111111,3,2.25,8.5
1998,73,F,5.95,5.5,2,8.25
1998,73,M,4.882352941176471,3,1,7
1998,74,F,6.35,5.5,3,10.25
1998,74,M,5.818181818181818,5,2.5,8
