fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.0485744456177404,2,1,4
1998,0,M,3.137626819585355,2,1,4
1998,1,F,2.31193838254172,2,1,3
1998,1,M,2.366255144032922,2,1,3
1998,2,F,2.1370767960363337,2,1,3
1998,2,M,2.0446638457921957,2,1,3
1998,3,F,2.0913520097442144,2,1,3
1998,3,M,2.0582386363636362,2,1,2
1998,4,F,2.210287443267776,2,1,3
1998,4,M,2.077512776831346,2,1,3
1998,5,F,2.3011811023622046,2,1,3
1998,5,M,3.143617021276596,2,1,3
1998,6,F,2.4405594405594404,2,1,3
1998,6,M,2.293222683264177,2,1,3
1998,7,F,2.2393939393939393,2,1,3
1998,7,M,2.235934664246824,2,1,3
1998,8,F,2.541284403669725,2,1,3
1998,8,M,2.3436853002070395,2,1,3
1998,9,F,2.890845070422535,2,1,3
1998,9,M,2.3915211970074814,2,1,3
1998,10,F,3.1041666666666665,2,1,3
1998,10,M,2.8700564971751414,2,1,3
1998,11,F,3.198529411764706,2,1,3
1998,11,M,2.810810810810811,2,1,3
1998,12,F,2.8540772532188843,2,1,3
1998,12,M,2.686046511627907,2,1,3
1998,13,F,3.4,2,1,4
1998,13,M,2.900709219858156,2,1,3
1998,14,F,3.165137614678899,3,1.25,4
1998,14,M,3.11284046692607,2,2,4
1998,15,F,2.9269230769230767,2,1,4
1998,15,M,2.5449101796407185,2,1,3
1998,16,F,3.511705685618729,2,1,4
1998,16,M,3.302325581395349,2,2,4
1998,17,F,3.0725552050473186,2,1,4
1998,17,M,2.765151515151515,2,1,3
1998,18,F,3.1698717948717947,2,1,4
1998,18,M,2.9464285714285716,2,1,3
1998,19,F,4.071661237785016,2,1,4
1998,19,M,2.7563025210084033,2,1,3
1998,20,F,3.699059561128527,3,1,4
1998,20,M,3.5463917525773194,2,1,3
1998,21,F,3.392857142857143,3,2,4
1998,21,M,3.6607142857142856,2,1,3
1998,22,F,3.4746376811594204,2,1,3
1998,22,M,2.7338709677419355,2,1,3
1998,23,F,3.362776025236593,2,1,4
1998,23,M,3.568,2,1,4
1998,24,F,3.898496240601504,3,2,4
1998,24,M,4.024,2,1,4
1998,25,F,3.037931034482759,2,1,4
1998,25,M,3.9902912621359223,2,1,4
1998,26,F,3.425196850393701,2,1,4
1998,26,M,3.6055045871559632,3,1,5
1998,27,F,3.873015873015873,3,2,4
1998,27,M,4.066666666666666,2,1,3
1998,28,F,4.482876712328767,3,2,4
1998,28,M,3.7551020408163267,3,2,4
1998,29,F,4.115254237288136,3,1.5,5
1998,29,M,2.9038461538461537,2,1,4
1998,30,F,4.075098814229249,3,2,4
1998,30,M,3.900990099009901,2,1,4
1998,31,F,4.312252964426878,3,1,5
1998,31,M,3.6923076923076925,2,1,4
1998,32,F,4.206896551724138,3,2,5
1998,32,M,4.225806451612903,3,2,4
1998,33,F,4.025236593059937,3,2,5
1998,33,M,4.485981308411215,3,2,5
1998,34,F,4.555223880597015,3,2,5
1998,34,M,3.732142857142857,2,1,5
1998,35,F,4.87460815047022,3,2,5
1998,35,M,5.046979865771812,2,1,4
1998,36,F,5.073394495412844,3,2,6
1998,36,M,5.572916666666667,3,2,4
1998,37,F,5.2182410423452765,3,2,6
1998,37,M,4.774193548387097,3,2,5
1998,38,F,5.070987654320987,3,2,6
1998,38,M,4.465116279069767,3,1,5
1998,39,F,5.416666666666667,3,2,6
1998,39,M,5.023809523809524,3,1.25,5.75
1998,40,F,5.414634146341464,3,2,6
1998,40,M,5.335766423357664,3,1,5
1998,41,F,5.111475409836066,3,2,6
1998,41,M,4.920289855072464,3,2,6
1998,42,F,5.410256410256411,4,2,7
1998,42,M,4.96875,4,2,6
1998,43,F,5.141993957703927,4,2,6
1998,43,M,3.460431654676259,2,1,4.5
1998,44,F,5.900311526479751,4,2,6
1998,44,M,5.255813953488372,3,2,5
1998,45,F,5.320699708454811,3,2,6
1998,45,M,6.083969465648855,3,2,6
1998,46,F,5.890977443609023,4,2,6
1998,46,M,4.905172413793103,4,2,7
1998,47,F,5.8535911602209945,4,2,7
1998,47,M,7,3,2,6
1998,48,F,7.929178470254958,4,2,7
1998,48,M,4.149606299212598,3,2,5
1998,49,F,5.306406685236769,4,2,6
1998,49,M,5.420634920634921,4,2,6.75
1998,50,F,6.243975903614458,4,2,7
1998,50,M,5.864285714285714,3,1.75,6
1998,51,F,6.283236994219653,4,3,7
1998,51,M,5.852112676056338,4,2,6
1998,52,F,5.387301587301588,4,2,6.5
1998,52,M,4.761904761904762,3,2,6
1998,53,F,6.918918918918919,4,2,8
1998,53,M,6.088,4,2,7
1998,54,F,6.496598639455782,4,2,7
1998,54,M,6.268115942028985,5,3,7
1998,55,F,6.667673716012085,5,2,8
1998,55,M,6.348684210526316,4,2,7
1998,56,F,5.733974358974359,4,2,7
1998,56,M,6.176470588235294,3,2,7.25
1998,57,F,5.891025641025641,4,2,7
1998,57,M,5.380952380952381,4,2,7
1998,58,F,6.109589041095891,4,2.75,7
