fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.1923076923076925,3,2,4
1998,0,M,3.3076923076923075,3,2,4
1998,1,F,2.625,2,2,3.25
1998,1,M,2.734375,2,1,3
1998,2,F,2.5806451612903225,2,2,3
1998,2,M,2.265625,2,1,3
1998,3,F,2.268292682926829,2,1,3
1998,3,M,2.5348837209302326,2,1,4
1998,4,F,3.3333333333333335,3,2,4
1998,4,M,2.5,2,1,3
1998,5,F,2.5294117647058822,2,1,3
1998,5,M,3.0714285714285716,2,1,3.25
1998,6,F,2,2,1,3
1998,6,M,2.8,2,1,4.25
1998,7,F,3,2,1,4.5
1998,7,M,2.2,2,1,3.5
1998,8,F,2.4545454545454546,3,2,3
1998,8,M,2.7916666666666665,2,2,3
1998,9,F,2.888888888888889,3,2,4
1998,9,M,2.8666666666666667,3,2,4
1998,10,F,4.125,3.5,1.75,5
1998,10,M,3.9444444444444446,3,2.25,5.5
1998,11,F,2.2142857142857144,2,1.25,2.75
1998,11,M,2.7333333333333334,2,1,4.5
1998,12,F,4.2,3,1.5,7
1998,12,M,1.8461538461538463,2,1,3
1998,13,F,4.133333333333334,3,2,4.5
1998,13,M,2.230769230769231,2,1,3
1998,14,F,4.666666666666667,3,2.5,6
1998,14,M,1.75,1.5,1,2.25
1998,15,F,4,4,3,5.75
1998,15,M,1.2,1,1,1
1998,16,F,3.1818181818181817,3,1.5,4.5
1998,16,M,3.4,2,2,5
1998,17,F,3.764705882352941,3,2,4
1998,17,M,1.5,1.5,0.75,2.25
1998,18,F,3.909090909090909,3,2.5,5
1998,18,M,1.6666666666666667,2,1.5,2
1998,19,F,3.4,3,1.5,4
1998,19,M,0,0,0,0
1998,20,F,3.9473684210526314,2,1.5,3
1998,20,M,1.6666666666666667,2,1,2.5
1998,21,F,3.142857142857143,2,2,4
1998,22,F,1.6,1,1,2
1998,22,M,3,3,3,3
1998,23,F,3.3333333333333335,3,2,4
1998,24,F,2.2857142857142856,2,1.5,3.5
1998,24,M,4,4,3,5
1998,25,F,2.6666666666666665,3,1,3
1998,25,M,3,3,3,3
1998,26,F,2.75,2.5,1.5,3.75
1998,26,M,5,5,4.5,5.5
1998,27,F,2,2,0.75,3.25
1998,27,M,4.5,4.5,3.75,5.25
1998,28,F,2.5,2.5,2,3
1998,28,M,2.3333333333333335,2,1.5,3
1998,29,F,5.071428571428571,3.5,2,6
1998,29,M,1.6666666666666667,2,1,2.5
1998,30,F,19.833333333333332,16.5,3.5,37.75
1998,31,F,2.857142857142857,2,2,3.5
1998,31,M,3,3,3,3
1998,32,F,11.7,6.5,3,14.5
1998,32,M,2.5,2.5,2.25,2.75
1998,33,F,3.3333333333333335,2.5,2,4.5
1998,33,M,5,5,5,5
1998,34,F,6.090909090909091,4,3,7
1998,34,M,4.714285714285714,5,3,6.5
1998,35,F,2,1,1,1.75
1998,35,M,3,3,3,3
1998,36,F,3.5,3,2,3
1998,36,M,3.6,2,2,3
1998,37,F,3.5,4,2.75,4
1998,37,M,8,8,8,8
1998,38,F,3.4545454545454546,2,2,5
1998,38,M,2.5,2.5,1.75,3.25
1998,39,F,5,4,4,6
1998,39,M,5.75,5.5,4.5,6.75
1998,40,F,3,3,2.5,3.5
1998,40,M,11.5,11.5,7.25,15.75
1998,41,F,5,4,3,5
1998,41,M,3.3333333333333335,3,2.25,4.5
1998,42,F,3.857142857142857,3.5,3,4.75
1998,42,M,5.5,5,3,7.5
1998,43,F,5.454545454545454,5,2.5,8
1998,43,M,4,4,3.5,4.5
1998,44,F,3.8,3,2.25,4
1998,44,M,3,3,3,3
1998,45,F,2.95,2.5,1,3
1998,45,M,3.6666666666666665,2,1.5,5
1998,46,F,4.25,3.5,3,6
1998,46,M,5,5,3.5,6.5
1998,47,F,3.6666666666666665,2,2,5
1998,47,M,4,4,4,4
1998,48,F,5.777777777777778,5,4,6
1998,48,M,4.5,4.5,4.25,4.75
1998,49,F,6.333333333333333,3,2,7
1998,49,M,2.3333333333333335,2,2,2.5
1998,50,F,4.75,4,2,6.25
1998,50,M,4.75,3,2,4.5
1998,51,F,5.5,6,3.75,7.25
1998,51,M,4,4,4,4
1998,52,F,6.714285714285714,6,4,8.5
1998,52,M,4,4,3.5,4.5
1998,53,F,8.333333333333334,7,2,12
1998,53,M,6.5,6.5,5.75,7.25
1998,54,F,7.636363636363637,7,3.5,10
1998,54,M,3.75,4,3.5,4.25
1998,55,F,10.428571428571429,7,6,10.5
1998,55,M,4.4,4,3,5
1998,56,F,7.555555555555555,5,4,11
1998,56,M,3.5,3.5,2.25,4.75
1998,57,F,5.2,4,3,5.5
1998,57,M,6.666666666666667,4,3,9
1998,58,F,7,7,6.5,7.5
1998,58,M,4,4,3.5,4.5
1998,59,F,3,2,2,4
1998,59,M,2.5,2.5,1.75,3.25
1998,60,F,7.333333333333333,8,3,11
1998,60,M,9,7,2.5,9.5
1998,61,F,3.5,2.5,1.75,4.25
1998,61,M,5.333333333333333,6,3.5,7.5
1998,62,F,6.166666666666667,5.5,4.25,7.5
1998,62,M,5,3,2,4.75
1998,63,F,7.666666666666667,5,5,11
1998,63,M,5.818181818181818,4,3,6
1998,64,F,8.272727272727273,5,3,9
1998,64,M,14,7.5,6.25,22.25
1998,65,F,9.11111111111111,6,4,13
1998,65,M,8.2,8,5,12
1998,66,F,8.133333333333333,5,3.5,8.5
1998,66,M,4,3,3,4
1998,67,F,8.666666666666666,8,4,12
1998,67,M,5.666666666666667,5,3.5,7.5
1998,68,F,6.25,6.5,5.5,8
1998,68,M,4.25,3.5,2.75,5
1998,69,F,5,4,3.5,6.5
1998,69,M,6.285714285714286,5,4,5.5
1998,70,F,6.2727272727272725,6,4,8
1998,70,M,5.5,5.5,3.75,7.25
1998,71,F,8.166666666666666,7.5,5.5,8.75
1998,71,M,7.5,8,4.75,9.5
1998,72,F,8.75,9,5.5,12.25
1998,72,M,10,7.5,5.25,12.25
1998,73,F,6.666666666666667,5,3,7
1998,73,M,8.285714285714286,5,4,11
1998,74,F,5.25,4.5,2.75,7.25
1998,74,M,8.166666666666666,7,6.25,9.25
1998,75,F,7.75,6,3,10.75
1998,75,M,9.833333333333334,9,7,11.75
1998,76,F,7.25,6.5,5.75,7.5
1998,76,M,11.333333333333334,7,6.5,14
1998,77,F,7.75,5.5,4.25,9.5
1998,77,M,6,6,5.75,6.25
1998,78,F,8.11111111111111,6,5,6
1998,78,M,8,8,7.5,8.5
1998,79,F,9.11111111111111,9,5,13
1998,79,M,8.8,10,3,12
1998,80,F,10.428571428571429,11,6,14.5
1998,80,M,6,5,4,6
1998,81,F,5.2,5,2,8
1998,81,M,8,4.5,2.5,10
1998,82,F,6.866666666666666,6,4.5,8
1998,82,M,2.6666666666666665,3,2,3.5
1998,83,F,10,5,3,7
1998,83,M,10,9,6,13.5
1998,84,F,5.333333333333333,3,2.5,7
1998,85,F,9.2,9,6,11
1998,85,M,7.5,7.5,4.75,10.25
1998,86,F,11.142857142857142,9,6.5,17
1998,86,M,7,7,7,7
1998,87,F,14,14,14,14
1998,87,M,16,16,16,16
1998,88,F,17.5,15.5,12.25,20.75
1998,88,M,8,8,8,8
1998,89,F,12,12,12,12
1998,90+,F,6.5,7,3,9
1998,90+,M,2,2,2,2
1999,0,F,5,4,2.75,6
1999,0,M,3.314814814814815,3,1,4.75
1999,1,F,2.95,2.5,2,4
1999,1,M,2.606382978723404,2,1,3
1999,2,F,2.8095238095238093,2,2,3
1999,2,M,2.267605633802817,2,1,3
1999,3,F,2.727272727272727,2,1,4
1999,3,M,2.1923076923076925,2,1.75,3
1999,4,F,2.85,2.5,1,4.25
1999,4,M,2.1714285714285713,2,1,3
1999,5,F,2.566666666666667,2,1.25,3
1999,5,M,2.227272727272727,2,1,3
1999,6,F,2.7777777777777777,2,2,3
1999,6,M,2.5625,2.5,2,3
1999,7,F,3,3,1.25,3.75
1999,7,M,2.5,2,1,4
1999,8,F,2.3333333333333335,2,2,3
1999,8,M,2.25,2,2,2.25
