fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.896551724137931,2,2,5
1998,0,M,2.912280701754386,2,1,4
1998,1,F,2.5555555555555554,2,1.5,3
1998,1,M,2.376237623762376,2,1,3
1998,2,F,2.4242424242424243,2,2,3
1998,2,M,2.208955223880597,2,1,3
1998,3,F,2.5,2,1,3
1998,3,M,1.9285714285714286,2,1,2
1998,4,F,3.2222222222222223,3,2,4
1998,4,M,3.2291666666666665,2,1,3
1998,5,F,2.764705882352941,2,2,3
1998,5,M,2.2285714285714286,2,1,2.5
1998,6,F,2.0714285714285716,2,1,3
1998,6,M,2.1481481481481484,2,1.5,3
1998,7,F,2.4,2,1,3.75
1998,7,M,2.7222222222222223,3,2,3
1998,8,F,2.4285714285714284,2,2,2.5
1998,8,M,3.375,3,2,4
1998,9,F,2.857142857142857,3,1,4.5
1998,9,M,3,3,2,4
1998,10,F,4.5,4.5,2.75,6
1998,10,M,3.25,3.5,2.5,4.25
1998,11,F,6.5,3,2.25,4.5
1998,11,M,2.875,3,1,4
1998,12,F,2.6,2.5,2,3
1998,12,M,3.6666666666666665,4,3,4
1998,13,F,8.636363636363637,6,5,10
1998,13,M,3.3076923076923075,3,2,4
1998,14,F,3.25,3,2.75,3.5
1998,14,M,4.588235294117647,4,2,5
1998,15,F,4,3,2.5,5
1998,15,M,3.6666666666666665,4,3,4.5
1998,16,F,4.625,4,2.75,7.25
1998,16,M,3,3,2,4
1998,17,F,2.5,2,2,3
1998,17,M,2,2,1.75,2.25
1998,18,F,2,3,1,3
1998,18,M,3.3333333333333335,3,3,3.5
1998,19,F,4.5,4.5,3.25,5.75
1998,19,M,1,1,0.5,1.5
1998,20,F,2,2,2,2
1998,20,M,2,2,1.5,2.5
1998,21,F,3.1666666666666665,2.5,2,4.5
1998,21,M,0.5,0.5,0.25,0.75
1998,22,F,1,1,1,1
1998,22,M,3,3,3,3
1998,23,F,4.2,4,3,5
1998,23,M,6.5,6.5,5.75,7.25
1998,24,F,2.2,2,2,2
1998,25,F,2,2,1.75,2.25
1998,25,M,4.333333333333333,5,3.5,5.5
1998,26,F,4.4,3,2,5
