fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.3306451612903225,3,2,4
1998,0,M,3.4937142857142858,3,2,4
1998,1,F,2.4330708661417324,2,1,3
1998,1,M,2.6727115716753023,2,1,3
1998,2,F,2.2823275862068964,2,1,3
1998,2,M,2.24320987654321,2,1,3
1998,3,F,2.262975778546713,2,1,3
1998,3,M,2.3192389006342493,2,1,3
1998,4,F,2.3258426966292136,2,1,3
1998,4,M,2.1891191709844557,2,1,3
1998,5,F,2.3173076923076925,2,1,3
1998,5,M,4.783422459893048,2,1,3
1998,6,F,2.5714285714285716,2,1,3
1998,6,M,2.648550724637681,2,1,3
1998,7,F,2.342857142857143,2,1,3
1998,7,M,2.3526570048309177,2,1,3
1998,8,F,2.795620437956204,2,1,3
1998,8,M,2.403225806451613,2,1,3
1998,9,F,3.21875,2,1,4
1998,9,M,2.610738255033557,2,1,3
1998,10,F,4.186915887850467,2,1,3.5
1998,10,M,3.5579710144927534,2,1,3
1998,11,F,3.6990291262135924,2,1,4
1998,11,M,3.256880733944954,2,1,3
1998,12,F,2.9878048780487805,2,1,3
1998,12,M,2.9057971014492754,2,1,3
1998,13,F,3.752577319587629,3,1,4
1998,13,M,3.4358974358974357,2,1,3
1998,14,F,3.4814814814814814,3,1,4
1998,14,M,3.504854368932039,2,2,4
1998,15,F,3.336842105263158,2,1,4
1998,15,M,2.6666666666666665,2,1,4
1998,16,F,4.322147651006712,2,1,5
1998,16,M,3.8133333333333335,3,2,5
1998,17,F,3.6666666666666665,2,1,4
1998,17,M,3.3333333333333335,2,1,4
1998,18,F,3.722972972972973,3,1,4
1998,18,M,4.488372093023256,3,1,4.5
1998,19,F,5.777777777777778,3,1,4.25
1998,19,M,3.4642857142857144,2,1,4
1998,20,F,4.19375,3,2,4
1998,20,M,6.151515151515151,2,1,3
1998,21,F,4.125,3,2,5
1998,21,M,6.288888888888889,3,1,6
1998,22,F,5.065040650406504,3,2,4
1998,22,M,3.857142857142857,2,2,5
1998,23,F,4.0184049079754605,2,1,5
1998,23,M,5.217391304347826,3,2,7.75
1998,24,F,4.753521126760563,3,2,4.75
1998,24,M,7.045454545454546,3,2,5
1998,25,F,3.1700680272108843,3,2,4
1998,25,M,6.083333333333333,2,2,6
1998,26,F,3.8920863309352516,3,2,4
1998,26,M,4.717391304347826,3,1,6
1998,27,F,4.645962732919255,3,2,4
1998,27,M,6.270833333333333,3,2,5
1998,28,F,5.66875,3,2,5
1998,28,M,4.9523809523809526,4,2,5.75
1998,29,F,4.66875,3,2,5
1998,29,M,3.7142857142857144,3,2,5
1998,30,F,4.268965517241379,3,2,5
1998,30,M,6.068181818181818,2,1,5
1998,31,F,4.469135802469136,3,2,5
1998,31,M,5.340425531914893,3,2,6
1998,32,F,4.127659574468085,3,2,5
1998,32,M,5.3076923076923075,3,2,6
1998,33,F,4.670329670329671,3,2,5
1998,33,M,5.215686274509804,3,2,6
1998,34,F,5.192090395480226,3,2,5
1998,34,M,4.7924528301886795,2,1,6
1998,35,F,6.056818181818182,3,2,6
1998,35,M,7.166666666666667,3,1,5
1998,36,F,6.460122699386503,4,2,7
1998,36,M,8.11111111111111,3,2,6
1998,37,F,6.228395061728395,3,2,6
1998,37,M,5.855263157894737,3.5,2,6
1998,38,F,6.375,3,2,7
1998,38,M,6.640625,4,2,8
1998,39,F,7.388489208633094,4,2,7
1998,39,M,5.903225806451613,4,2,7
1998,40,F,7,4,2,7.5
1998,40,M,7.147058823529412,3,1.75,6.25
1998,41,F,5.506578947368421,4,2,7
1998,41,M,5.802469135802469,4,2,7
1998,42,F,6.121621621621622,4,2,7.25
1998,42,M,5.863013698630137,4,2,7
1998,43,F,5.9945054945054945,4.5,2,7
1998,43,M,4.682539682539683,3,1.5,5.5
1998,44,F,7.120689655172414,4,2,7
1998,44,M,6.666666666666667,3,2,8
1998,45,F,6.7542857142857144,4,2,7
1998,45,M,8.608695652173912,4,2,7
1998,46,F,7.934426229508197,4,2,9
1998,46,M,5.75,4,2,8
1998,47,F,6.641711229946524,4,2,8
1998,47,M,9.714285714285714,4,2,8
1998,48,F,11.194444444444445,5,3,8
1998,48,M,5.291666666666667,4,2,7
1998,49,F,5.813664596273292,4,2,8
1998,49,M,6.302631578947368,4,2,8
1998,50,F,6.9411764705882355,4,2,7
1998,50,M,7.351351351351352,3,2,8
1998,51,F,7.846153846153846,5,3,9
1998,51,M,6.911111111111111,5,2,8
1998,52,F,5.751412429378531,4,2,6
1998,52,M,5.655737704918033,3,2,6
1998,53,F,8.384615384615385,4,2,9
1998,53,M,6.246753246753247,5,3,9
1998,54,F,7.616766467065868,5,2,8
1998,54,M,6.071428571428571,5,2.75,8
1998,55,F,7.427672955974843,5,2.5,9
1998,55,M,7.744186046511628,5,2,9
1998,56,F,6.633986928104576,5,2,8
1998,56,M,7.7926829268292686,4.5,2,8
1998,57,F,6.832258064516129,5,2,7.5
1998,57,M,6.0588235294117645,5,2,8
1998,58,F,6.774834437086093,4,3,8
1998,58,M,7.523076923076923,5,4,10
1998,59,F,6.734848484848484,6,2.75,9
1998,59,M,5.485294117647059,4,2,7.25
1998,60,F,8.933823529411764,6,3,11
