fiscal_year,age_group,sex,avg,med,q1,q3
1998,0,F,3.670886075949367,3,2,5
1998,0,M,3.7785714285714285,3,2,5
1998,1,F,2.646153846153846,2,2,3
1998,1,M,2.873134328358209,2,1.25,4
1998,2,F,2.5952380952380953,2,2,3.75
1998,2,M,2.240506329113924,2,1,3
1998,3,F,1.9285714285714286,1,1,2
1998,3,M,2.1904761904761907,2,1,3
1998,4,F,2.7083333333333335,2.5,1.75,3.25
1998,4,M,2.625,2,1.75,3.25
1998,5,F,3.125,3,2,3.25
1998,5,M,2.5217391304347827,2.5,1.25,3
1998,6,F,2.2666666666666666,2,1,2
1998,6,M,2.3076923076923075,2,1,3
1998,7,F,2.5714285714285716,2.5,2,3
1998,7,M,2.3157894736842106,2,1,3
1998,8,F,2.466666666666667,2,1,3.5
1998,8,M,2.8620689655172415,3,2,4
1998,9,F,2.5384615384615383,3,2,3
1998,9,M,2.3333333333333335,2.5,2,3
1998,10,F,2.727272727272727,3,2,4
1998,10,M,2.4375,2,1,3.25
1998,11,F,3.5714285714285716,4,2.5,4
1998,11,M,2.933333333333333,3,2,3.5
1998,12,F,2.272727272727273,2,2,2.5
1998,12,M,2.2857142857142856,2,2,2.75
1998,13,F,2.4615384615384617,2,1,4
1998,13,M,2.7,2.5,1,4
1998,14,F,2.125,2,1,3
1998,14,M,2.9375,3,2,4
1998,15,F,1.9411764705882353,2,1,2
1998,15,M,2.1666666666666665,2,1.25,2.75
1998,16,F,3.1538461538461537,2,2,3
1998,16,M,3.3333333333333335,2,1.5,4.5
1998,17,F,2.0833333333333335,2,2,2
1998,17,M,3,3,3,3
1998,18,F,1.4444444444444444,1,1,2
1998,18,M,1.2857142857142858,1,1,1.5
1998,19,F,2.375,2,1,3.25
1998,19,M,2.2,1,1,3
1998,20,F,2,2,1,2
1998,20,M,2,2,1.75,2.25
1998,21,F,1.8333333333333333,1.5,1,2.75
1998,21,M,2.4285714285714284,2,2,2.5
1998,22,F,3.5833333333333335,3.5,1,5
1998,22,M,2.75,2.5,1.5,3.75
1998,23,F,2.1,1.5,1,2.75
1998,23,M,0.6,1,0,1
1998,24,F,2.7777777777777777,2,1,4
1998,24,M,1.5,1.5,0.75,2.25
1998,25,F,1.75,1,0.75,2
1998,25,M,3.25,3,1.75,4.5
1998,26,F,4,3.5,1.75,5.75
1998,26,M,3.3333333333333335,2,2,4
1998,27,F,2.1666666666666665,2.5,1.25,3
1998,27,M,0,0,0,0
1998,28,F,3,3,3,3
1998,28,M,3,2.5,1.75,3.75
1998,29,F,2.2222222222222223,2,2,3
1998,29,M,2.5,2.5,1.75,3.25
1998,30,F,1.5,1,1,1.5
1998,30,M,2.6666666666666665,2.5,1.25,3.75
1998,31,F,1.8,1,1,3
1998,31,M,1,1,1,1
1998,32,F,4.6,5,1,5
1998,32,M,5,5,5,5
1998,33,F,3.4,3,3,4
1998,33,M,2.8,1,1,5
1998,34,F,2.5,1.5,1,3.5
1998,34,M,1.6666666666666667,1,1,2
1998,35,F,3.4,4,1,6
1998,35,M,2.75,2.5,1.75,3.5
1998,36,F,4.428571428571429,4,3,4
1998,36,M,2.3333333333333335,2.5,1.25,3
1998,37,F,3.5454545454545454,3,2,5.5
1998,37,M,2,2,2,2
1998,38,F,2.357142857142857,1.5,1,4
1998,38,M,2.25,2,1,3.25
1998,39,F,4.5,4.5,3,6.75
1998,39,M,2.5,2.5,2.25,2.75
1998,40,F,3.857142857142857,3,2,3.75
1998,40,M,1,1,1,1
1998,41,F,2,1.5,1,2.5
1998,41,M,3,3,2,4
1998,42,F,1.3333333333333333,1,1,1.5
1998,43,F,3.3333333333333335,3,1,5
1998,43,M,1,1,1,1
1998,44,F,4.357142857142857,3,1,7
1998,44,M,4.5,4.5,3.25,5.75
1998,45,F,4.5,4.5,2.25,6.75
1998,45,M,5,5,4.5,5.5
1998,46,F,3.25,2,1,4.25
1998,46,M,4,4,2.5,5.5
1998,47,F,3.8,4,2,5
1998,47,M,1.5,1.5,1.25,1.75
1998,48,F,2.5,2,1,4.25
1998,48,M,1.7777777777777777,2,2,2
1998,49,F,4.083333333333333,3.5,2,5.25
1998,49,M,2.5,2.5,1.75,3.25
1998,50,F,3.7142857142857144,4,3,5
1998,51,F,5.7368421052631575,5,3,6
1998,51,M,16,16,11,21
1998,52,F,3.5555555555555554,2,2,4
1998,52,M,4.6,2,2,6
1998,53,F,2.5,1,0,4.25
1998,53,M,6.285714285714286,7,5.5,7.5
1998,54,F,3.25,3,2.75,3.5
1998,54,M,5.25,5,5,5.25
1998,55,F,4.166666666666667,4,3.25,4.75
1998,55,M,5.5,5.5,5.25,5.75
1998,56,F,6.3,4,2.25,8.75
1998,57,F,4.5,4,1.5,5.75
1998,57,M,7,7,7,7
1998,58,F,4.5,1.5,1,8
1998,58,M,6.857142857142857,5,3,11
1998,59,F,4.111111111111111,3,2,7
1998,59,M,2,2,0.75,3.25
1998,60,F,6.125,5,3.75,7.5
1998,60,M,3.25,3,2.75,3.5
1998,61,F,7.125,5.5,4,7
1998,61,M,4.666666666666667,5,4.25,5.75
1998,62,F,4.75,4,2.25,6.5
1998,62,M,4.9,3,2.25,5.75
1998,63,F,10.142857142857142,3,1.5,14
1998,63,M,6.909090909090909,4,2.5,6.5
1998,64,F,1,1,0.5,1.5
1998,64,M,3.8,3,1,5
1998,65,F,6.428571428571429,7,4.5,8.5
1998,65,M,4.5,4.5,4,5
1998,66,F,8,6,5,9
1998,66,M,3.8,3,3,4
1998,67,F,11.636363636363637,7,2,15.5
1998,67,M,2.6666666666666665,2,1.5,3.5
1998,68,F,3.142857142857143,3,2,4
1998,68,M,3.875,4,1.75,5.25
1998,69,F,6.2,5,5,7
1998,69,M,3.857142857142857,3,2,6
1998,70,F,7,7,4.5,9.5
1998,70,M,6,5,5,8
1998,71,F,5.888888888888889,6,2,9
1998,71,M,2.5555555555555554,2,2,3
1998,72,F,9.8,7,5,13
1998,72,M,5.666666666666667,5.5,4.25,6.75
1998,73,F,6.25,6,1,10
1998,73,M,5.444444444444445,7,2,8
1998,74,F,11.307692307692308,8,5,11
1998,74,M,2.5714285714285716,2,1.5,3.5
1998,75,F,3,1,1,5
1998,75,M,4.125,4,2,5.25
1998,76,F,8.363636363636363,8,5.5,11
1998,76,M,9,9.5,5.75,12.75
1998,77,F,6.785714285714286,5,4,7.75
1998,77,M,5,4.5,3.25,6.5
1998,78,F,8,6.5,5,7.75
1998,78,M,10.857142857142858,9,5.5,15.5
1998,79,F,7.222222222222222,5,2,8
1998,79,M,2.25,1,0.75,2.5
1998,80,F,9.4,9,6,13
1998,80,M,4,5,3,5.5
1998,81,F,3.2,3,3,4
1998,81,M,11,11,9,13
1998,82,F,9.142857142857142,4,4,9
1998,82,M,4.6,5,0,5
1998,83,F,9.714285714285714,6,4,14
1998,83,M,4.666666666666667,5,3,6.5
1998,84,F,11.5,11.5,8.25,14.75
1998,84,M,4.5,4.5,3.25,5.75
1998,85,F,30.333333333333332,15,9,44
1998,85,M,7.833333333333333,7,4.5,8
1998,86,F,8.333333333333334,7,4.25,9.75
1998,86,M,5,5,5,5
1998,87,F,8.5,8.5,7.25,9.75
1998,87,M,13.5,4.5,3.5,14.5
1998,88,F,15,15,12.5,17.5
1998,89,F,2,2,2,2
1998,89,M,57,57,57,57
1998,90+,F,8.25,2.5,2,3.25
1998,90+,M,4.666666666666667,4,3,6
1999,0,F,3.4477611940298507,3,2,4.5
1999,0,M,3.7777777777777777,3,2,5
1999,1,F,2.8333333333333335,2,2,4
1999,1,M,2.7777777777777777,2,2,4
1999,2,F,2.0689655172413794,2,1,3
1999,2,M,3.693877551020408,2,1,3
1999,3,F,2.727272727272727,3,2,3
1999,3,M,2.2666666666666666,2,1,3
1999,4,F,3.076923076923077,2,1,4
1999,4,M,2.5365853658536586,2,2,3
1999,5,F,2.75,3,2,3
1999,5,M,2.727272727272727,3,2,3
1999,6,F,2.5384615384615383,2,2,3
1999,6,M,2.1666666666666665,2,1,3
1999,7,F,2,2,1,2
1999,7,M,2.0714285714285716,2,1,2.75
1999,8,F,2.5,2,1,3.75
1999,8,M,2.4347826086956523,2,1,3.5
1999,9,F,2.5,3,2,3
1999,9,M,2.619047619047619,2,2,3
1999,10,F,2.272727272727273,2,1.5,2.5
1999,10,M,2,2,1,3
1999,11,F,1.8461538461538463,2,1,3
1999,11,M,1.7647058823529411,2,1,2
1999,12,F,3.7142857142857144,3,2,4.5
1999,12,M,2.36,2,1,3
1999,13,F,2.1666666666666665,2,1,3
1999,13,M,2.8181818181818183,2,1.5,3
1999,14,F,1.9285714285714286,2,1,3
1999,14,M,3.142857142857143,3,2,4.5
1999,15,F,4.176470588235294,3,2,4
1999,15,M,2.7142857142857144,2,1.5,3
1999,16,F,2.4444444444444446,2,1,3
1999,16,M,1.5,1,0.75,2.25
1999,17,F,2.8461538461538463,3,2,4
1999,17,M,2.6666666666666665,2,1,4
1999,18,F,2.142857142857143,2,1,3
1999,18,M,2.3333333333333335,2,1.5,3
1999,19,F,1.6363636363636365,2,0.5,2.5
1999,19,M,2,1,1,2
1999,20,F,1.736842105263158,1,1,2
1999,20,M,2,2,1.25,2.75
1999,21,F,1.3333333333333333,1,1,1.5
1999,21,M,1.875,1.5,0.75,2.5
1999,22,F,2.6153846153846154,2,1,4
1999,22,M,3.25,2.5,2,3.75
1999,23,F,2.4285714285714284,2,1,4
1999,23,M,1.5,1.5,1,2
1999,24,F,2.8181818181818183,1,0.5,2
1999,24,M,3.6666666666666665,3,2,5
1999,25,F,2.3846153846153846,2,1,2
1999,26,F,2.6666666666666665,3,2,3.5
1999,27,F,8.4,3,1,9
1999,27,M,0,0,0,0
1999,28,F,1.8571428571428572,2,1,2
1999,28,M,1,1,1,1
1999,29,F,1.5,1,1,1.5
1999,29,M,1.5,1.5,1.25,1.75
1999,30,F,3.6666666666666665,3,2,5
1999,31,F,2,2,1.25,2.75
1999,31,M,2.75,2,1.75,3
1999,32,F,2,3,1,3
1999,32,M,1.25,1,0,2.25
1999,33,F,1.7142857142857142,2,1,2.5
1999,33,M,2,2,1.5,2.5
1999,34,F,2.5,2.5,1.75,3.25
1999,34,M,3,3,3,3
1999,35,F,3.4166666666666665,2.5,1,5
1999,35,M,1.6666666666666667,2,1.5,2
1999,36,F,2.5714285714285716,2.5,1.25,3.75
1999,36,M,2.5,2.5,0.75,4.25
1999,37,F,2,2,1,3
1999,37,M,3.3333333333333335,3,3,3.5
1999,38,F,2.6,1,1,1
1999,38,M,5.75,5,4.25,6.5
1999,39,F,3.2857142857142856,3,2.5,4.5
1999,39,M,2,2,2,2
1999,40,F,3.5,3.5,3,4
1999,40,M,3.6666666666666665,4,3,4.5
1999,41,F,1.6666666666666667,2,1.25,2
1999,41,M,2.8,3,2,3
1999,42,F,3,3,2.5,3.5
1999,42,M,1.5,1.5,1.25,1.75
1999,43,F,3.2857142857142856,4,2,4
1999,43,M,2.25,2.5,0.75,4
1999,44,F,7,5.5,3.5,11.25
1999,44,M,3.125,2.5,1,3.25
1999,45,F,3.272727272727273,2,1.5,4.5
1999,45,M,3.5,3.5,2.25,4.75
1999,46,F,4.454545454545454,4,1.5,6.5
1999,46,M,4.2,2,2,5
1999,47,F,5,4.5,3.25,6.25
1999,47,M,2,1.5,0.25,3.5
1999,48,F,3.8333333333333335,3,2,4.75
1999,48,M,2.3333333333333335,1,0.5,3.5
1999,49,F,3.5,2.5,2,4
1999,49,M,2.6,2,2,2
1999,50,F,3.625,4,2.5,5.25
