REF_DATE,Projection_scenario,VALUE,prop_male,relative_change
2020,FA,365300,0.5120891062211356,1
2021,FA,363000,0.5120547945205479,0.9937038050917054
2022,FA,361300,0.511986773215762,0.9890500958116617
2023,FA,359800,0.5121816168327796,0.9849438817410348
2024,FA,358400,0.51209341117598,0.9811114152751164
2025,FA,357200,0.5119977678571429,0.9778264440186148
2026,FA,356100,0.5118947663028267,0.9748152203668218
2027,FA,355200,0.5120718697361033,0.9723514919244457
2028,FA,354400,0.5122431747818744,0.970161511086778
2029,FA,353900,0.512126339537507,0.9687927730632357
2030,FA,353700,0.5121400338791643,0.9682452778538188
2031,FA,353800,0.5120090421022888,0.9685190254585272
2032,FA,354200,0.5121468926553673,0.9696140158773611
2033,FA,355000,0.5119887165021156,0.9718039967150287
2034,FA,356300,0.5122431747818744,0.9753627155762387
2035,FA,357900,0.5120583286595625,0.979742677251574
2036,FA,359800,0.5120044667783361,0.9849438817410348
2037,FA,362000,0.5120799777839489,0.9909663290446209
2038,FA,364200,0.5120066243444659,0.9969887763482069
2039,FA,366500,0.5120680197476686,1.0032849712565015
2040,FA,368700,0.5122682660850599,1.0093074185600877
2041,FA,370700,0.5121951219512195,1.0147823706542567
2042,FA,372500,0.5121293800539084,1.019709827539009
2043,FA,373100,0.5120708154506438,1.0213523131672597
2044,FA,373500,0.512182061579652,1.0224473035860937
2045,FA,373600,0.5121690291521798,1.022721051190802
2046,FA,373500,0.5120320855614974,1.0224473035860937
2047,FA,373000,0.5121690291521798,1.0210785655625514
2048,FA,372300,0.5120514193893948,1.0191623323295922
2049,FA,371400,0.5122082103568554,1.016698603887216
2050,FA,370400,0.5119655821457382,1.0139611278401315
2051,FA,369200,0.5121359223300971,1.01067615658363
2052,FA,368000,0.5120367865837165,1.0073911853271285
2053,FA,366800,0.5120759837177747,1.004106214070627
2054,FA,365700,0.5119760479041916,1.0010949904188338
2055,FA,364600,0.5122883670125614,0.9980837667670408
2056,FA,363700,0.5120481927710844,0.9956200383246646
2057,FA,362900,0.5122152072467746,0.993430057486997
2058,FA,362300,0.512242090784044,0.9917875718587462
2059,FA,361800,0.511986773215762,0.9904188338352039
2060,FA,361500,0.512141280353201,0.9895975910210786
2061,FA,361400,0.5121479845389287,0.9893238434163701
2062,FA,361500,0.5121546961325967,0.9895975910210786
2063,FA,361700,0.512289422811378,0.9901450862304955
2064,FA,362100,0.512141280353201,0.9912400766493293
2065,FA,362700,0.5121278941565601,0.9928825622775801
2066,FA,363300,0.5121078701155751,0.9945250479058309
2067,FA,364200,0.5119472672342763,0.9969887763482069
2020,HG,412400,0.5121227115289461,1
2021,HG,419500,0.5120058210041232,1.01721629485936
2022,HG,426000,0.5120381406436234,1.0329776915615907
2023,HG,432200,0.5119662130455185,1.048011639185257
2024,HG,438100,0.5120259019426457,1.0623181377303588
2025,HG,443900,0.5120894160583942,1.0763821532492726
2026,HG,449500,0.5121566861773976,1.0899612027158099
2027,HG,455200,0.512,1.1037827352085354
2028,HG,460900,0.511959622558701,1.117604267701261
2029,HG,466700,0.5120260021668472,1.1316682832201745
2030,HG,472800,0.5119811724433034,1.1464597478176528
2031,HG,479200,0.5121436114044351,1.1619786614936953
2032,HG,486000,0.5120833333333333,1.1784675072744908
2033,HG,493200,0.5121199671322926,1.1959262851600387
2034,HG,500800,0.5121457489878543,1.2143549951503394
2035,HG,509000,0.512058999402033,1.2342386032977692
2036,HG,517500,0.5120611884683272,1.2548496605237633
2037,HG,526400,0.5120540019286403,1.2764306498545102
2038,HG,535600,0.5121350018960941,1.2987390882638215
2039,HG,545000,0.5121133060007454,1.3215324927255092
2040,HG,554500,0.5120879120879122,1.344568380213385
2041,HG,564100,0.5121512151215122,1.367846750727449
2042,HG,573700,0.5121217483631215,1.391125121241513
2043,HG,580200,0.5120932660518531,1.406886517943744
2044,HG,586600,0.5120440467997247,1.4224054316197867
2045,HG,593100,0.5121660711247235,1.4381668283220175
2046,HG,599700,0.512117132278694,1.4541707080504365
2047,HG,606600,0.512150466045273,1.47090203685742
2048,HG,613700,0.512094783610334,1.4881183317167799
2049,HG,621100,0.5121157911855586,1.506062075654704
2050,HG,628800,0.5121324120199261,1.524733268671193
2051,HG,636800,0.5120634920634921,1.5441319107662463
2052,HG,645100,0.5122257053291536,1.5642580019398642
2053,HG,653600,0.5121460622002166,1.5848690591658583
2054,HG,662200,0.5121392579019698,1.6057225994180406
2055,HG,671100,0.5120554550934298,1.6273035887487877
2056,HG,680000,0.5121951219512195,1.6488845780795345
2057,HG,689100,0.5121808042265923,1.6709505334626575
2058,HG,698200,0.5120926864590877,1.6930164888457808
2059,HG,707400,0.5121497998856489,1.7153249272550921
2060,HG,716800,0.5122020031033997,1.7381183317167799
2061,HG,726200,0.5120423221495197,1.7609117361784674
2062,HG,735800,0.5121616050570289,1.7841901066925314
2063,HG,745600,0.5120694331434771,1.807953443258972
2064,HG,755500,0.5120449678800857,1.8319592628516004
2065,HG,765700,0.5122176726984546,1.8566925315227933
2066,HG,776000,0.5121855858204093,1.8816682832201745
2067,HG,786500,0.5122170781893004,1.9071290009699322
2020,LG,365200,0.5120956781734167,1
2021,LG,363000,0.5120614035087719,0.9939759036144579
2022,LG,361200,0.5121345835631549,0.9890470974808324
2023,LG,359600,0.5120532003325021,0.9846659364731654
2024,LG,358200,0.512106874478152,0.9808324205914567
2025,LG,357000,0.5120111731843576,0.9775465498357064
2026,LG,355800,0.5121951219512195,0.9742606790799562
2027,LG,354800,0.5120922384701911,0.9715224534501643
2028,LG,354000,0.512126339537507,0.9693318729463308
2029,LG,353400,0.5120090421022888,0.9676889375684556
2030,LG,353100,0.512029436739315,0.9668674698795181
2031,LG,353100,0.5118980169971671,0.9668674698795181
2032,LG,353400,0.5118980169971671,0.9676889375684556
2033,LG,354100,0.512029436739315,0.96960569550931
2034,LG,355300,0.5121468926553673,0.9728915662650602
2035,LG,356800,0.5121058558558559,0.976998904709748
2036,LG,358600,0.5121951219512195,0.9819277108433735
2037,LG,360600,0.5121338912133891,0.9874041621029573
2038,LG,362800,0.5120665742024966,0.9934282584884995
2039,LG,364900,0.5119933829611248,0.9991785323110625
2040,LG,367000,0.5120614035087719,1.0049288061336255
2041,LG,368800,0.512128645407468,1.009857612267251
2042,LG,370500,0.5119305856832972,1.014512595837897
2043,LG,371000,0.5121490280777538,1.015881708652793
2044,LG,371300,0.5121293800539084,1.0167031763417305
2045,LG,371300,0.5121228448275862,1.0167031763417305
2046,LG,371000,0.5121228448275862,1.015881708652793
2047,LG,370400,0.5122674575357239,1.0142387732749178
2048,LG,369500,0.5121490280777538,1.0117743702081052
2049,LG,368500,0.5121753246753247,1.0090361445783131
2050,LG,367300,0.511937059142702,1.005750273822563
2051,LG,366000,0.5119760479041916,1.0021905805038336
2052,LG,364700,0.5121551488664299,0.9986308871851041
2053,LG,363400,0.5120614035087719,0.9950711938663745
2054,LG,362100,0.512242090784044,0.9915115005476451
2055,LG,360900,0.5121479845389287,0.9882256297918949
2056,LG,359800,0.5120465245084463,0.9852135815991238
2057,LG,358900,0.5122222222222222,0.982749178532311
2058,LG,358100,0.5121136173767753,0.9805585980284776
2059,LG,357500,0.512140664247837,0.9789156626506024
2060,LG,357000,0.5121610287950796,0.9775465498357064
2061,LG,356800,0.5121746431570109,0.976998904709748
2062,LG,356700,0.5123249299719889,0.9767250821467689
2063,LG,356800,0.5120448179271709,0.976998904709748
2064,LG,357000,0.512181461775413,0.9775465498357064
2065,LG,357400,0.5121746431570109,0.9786418400876232
2066,LG,358000,0.5120178870877585,0.9802847754654983
2067,LG,358600,0.512140664247837,0.9819277108433735
2020,M1,387700,0.5120685180378926,1
2021,M1,389800,0.5121321631388746,1.005416559195254
2022,M1,392000,0.5121888632281242,1.0110910497807584
2023,M1,394000,0.5121204388874713,1.0162496775857621
2024,M1,395900,0.512058898197512,1.021150374000516
