year,sex,age,province,n,total_n,prop
2000,TRUE,0,CA,173574,30659469,0.005661350495013466
2000,TRUE,1,CA,175730,30659469,0.00573167134760227
2000,TRUE,2,CA,180112,30659469,0.005874596197344448
2000,TRUE,3,CA,188547,30659469,0.0061497151173753204
2000,TRUE,4,CA,198217,30659469,0.006465115230795419
2000,TRUE,5,CA,202694,30659469,0.006611138633875231
2000,TRUE,6,CA,203754,30659469,0.006645711965853029
2000,TRUE,7,CA,207827,30659469,0.006778558363160171
2000,TRUE,8,CA,212785,30659469,0.006940270231033682
2000,TRUE,9,CA,216652,30659469,0.007066397660050799
2000,TRUE,10,CA,218061,30659469,0.007112354098500532
2000,TRUE,11,CA,209934,30659469,0.006847281014553774
2000,TRUE,12,CA,204235,30659469,0.006661400430646728
2000,TRUE,13,CA,207410,30659469,0.006764957344825509
2000,TRUE,14,CA,213458,30659469,0.006962221035204491
2000,TRUE,15,CA,215995,30659469,0.007044968717494749
2000,TRUE,16,CA,215231,30659469,0.007020049825389996
2000,TRUE,17,CA,214334,30659469,0.006990792958612558
2000,TRUE,18,CA,214054,30659469,0.006981660380354271
2000,TRUE,19,CA,217880,30659469,0.007106450538983568
2000,TRUE,20,CA,217421,30659469,0.0070914796339101634
2000,TRUE,21,CA,212601,30659469,0.006934268822463951
2000,TRUE,22,CA,208983,30659469,0.006816262864826524
2000,TRUE,23,CA,209925,30659469,0.006846987467395473
2000,TRUE,24,CA,209882,30659469,0.006845584964305807
2000,TRUE,25,CA,209723,30659469,0.006840398964509138
2000,TRUE,26,CA,202749,30659469,0.006612932533175966
2000,TRUE,27,CA,205932,30659469,0.006716750378162127
2000,TRUE,28,CA,210574,30659469,0.006868155479144143
2000,TRUE,29,CA,221802,30659469,0.00723437186730142
2000,TRUE,30,CA,223844,30659469,0.007300974455885064
2000,TRUE,31,CA,221443,30659469,0.0072226625973202604
2000,TRUE,32,CA,221809,30659469,0.007234600181757877
2000,TRUE,33,CA,227266,30659469,0.007412587608741691
2000,TRUE,34,CA,242005,30659469,0.007893320004987693
2000,TRUE,35,CA,261940,30659469,0.008543526960626747
2000,TRUE,36,CA,271877,30659469,0.00886763563974314
2000,TRUE,37,CA,276345,30659469,0.00901336549566465
2000,TRUE,38,CA,270568,30659469,0.008824940836385653
2000,TRUE,39,CA,273943,30659469,0.008935021020748925
2000,TRUE,40,CA,270406,30659469,0.008819656987536216
2000,TRUE,41,CA,262979,30659469,0.008577415349235173
2000,TRUE,42,CA,262325,30659469,0.00855608425573189
2000,TRUE,43,CA,256217,30659469,0.008356863584297563
2000,TRUE,44,CA,247604,30659469,0.008075938953802495
2000,TRUE,45,CA,247099,30659469,0.008059467696586657
2000,TRUE,46,CA,237857,30659469,0.007758027381361367
2000,TRUE,47,CA,227614,30659469,0.007423938098862703
2000,TRUE,48,CA,220542,30659469,0.007193275265139132
2000,TRUE,49,CA,216957,30659469,0.007076345647082146
2000,TRUE,50,CA,212590,30659469,0.006933910042603804
2000,TRUE,51,CA,208335,30659469,0.006795127469428776
2000,TRUE,52,CA,209415,30659469,0.006830353128425022
2000,TRUE,53,CA,211074,30659469,0.0068844636546053686
2000,TRUE,54,CA,177494,30659469,0.005789206590629472
2000,TRUE,55,CA,166534,30659469,0.005431731384519412
2000,TRUE,56,CA,162609,30659469,0.005303712207148793
2000,TRUE,57,CA,158160,30659469,0.00515860206189481
2000,TRUE,58,CA,145655,30659469,0.004750734593609563
2000,TRUE,59,CA,139539,30659469,0.0045512529913678546
2000,TRUE,60,CA,130552,30659469,0.004258129845627789
2000,TRUE,61,CA,127191,30659469,0.004148506290177433
2000,TRUE,62,CA,122259,30659469,0.003987642447427906
2000,TRUE,63,CA,116615,30659469,0.0038035557628215933
2000,TRUE,64,CA,116944,30659469,0.00381428654227508
2000,TRUE,65,CA,112853,30659469,0.003680853050651334
2000,TRUE,66,CA,109593,30659469,0.0035745237466441445
2000,TRUE,67,CA,110613,30659469,0.003607792424585044
2000,TRUE,68,CA,109920,30659469,0.003585189293395786
2000,TRUE,69,CA,106912,30659469,0.003487079309821054
2000,TRUE,70,CA,102309,30659469,0.003336946246525013
2000,TRUE,71,CA,95095,30659469,0.0031016518909704536
2000,TRUE,72,CA,92506,30659469,0.0030172081584322287
2000,TRUE,73,CA,86279,30659469,0.0028141061412381278
2000,TRUE,74,CA,82625,30659469,0.002694925994967493
2000,TRUE,75,CA,77157,30659469,0.0025165797881235323
2000,TRUE,76,CA,71642,30659469,0.002336700612786216
2000,TRUE,77,CA,66462,30659469,0.0021677479150079212
2000,TRUE,78,CA,62617,30659469,0.0020423380457110984
2000,TRUE,79,CA,56562,30659469,0.001844846040875659
2000,TRUE,80,CA,50045,30659469,0.0016322852819140475
2000,TRUE,81,CA,39842,30659469,0.0012995006534522826
2000,TRUE,82,CA,35260,30659469,0.0011500525335256132
2000,TRUE,83,CA,31282,30659469,0.0010203046895561041
2000,TRUE,84,CA,28001,30659469,9.132904421795433e-4
2000,TRUE,85,CA,25465,30659469,8.305753762402082e-4
2000,TRUE,86,CA,21182,30659469,6.908795452393516e-4
2000,TRUE,87,CA,17563,30659469,5.728409712510024e-4
2000,TRUE,88,CA,13615,30659469,4.440716178091669e-4
2000,TRUE,89,CA,10644,30659469,3.471684392185657e-4
