year,age,F,M,province
2000,4,1,1,CA
2000,5,1,0.9999999999999999,CA
2000,6,1,1,CA
2000,7,1,1,CA
2000,8,1,1,CA
2000,9,1,1,CA
2000,10,1,1,CA
2000,11,1,1,CA
2000,12,1,1,CA
2000,13,1,1,CA
2000,14,1,0.9999999999999999,CA
2000,15,0.9999999999999996,0.9999999999999997,CA
2000,16,1,0.9999999999999992,CA
2000,17,0.9999999999999994,0.9999999999999997,CA
2000,18,1,0.999999999999999,CA
2000,19,0.9999999999999998,1,CA
2000,20,1,1,CA
2000,21,1,1,CA
2000,22,0.9999999999999996,0.9999999999999994,CA
2000,23,1,0.9999999999999997,CA
2000,24,0.9999999999999996,0.9999999999999994,CA
2000,25,0.9999999999999996,1,CA
2000,26,1,0.9999999999999992,CA
2000,27,1,1,CA
2000,28,0.9999999999999997,1,CA
2000,29,1,1,CA
2000,30,0.9999999999999999,0.9999999999999996,CA
2000,31,1,1,CA
2000,32,0.9999999999999997,0.9999999999999993,CA
2000,33,1,1,CA
2000,34,0.9999999999999997,1,CA
2000,35,1,0.9999999999999992,CA
2000,36,0.9999999999999997,0.9999999999999998,CA
2000,37,0.9999999999999998,0.9999999999999994,CA
2000,38,1,1,CA
2000,39,0.9999999999999999,1,CA
2000,40,1,1,CA
2000,41,1,0.9999999999999998,CA
2000,42,1,0.9999999999999997,CA
2000,43,1,0.9999999999999994,CA
2000,44,1,0.9999999999999997,CA
2000,45,0.9999999999999999,0.9999999999999994,CA
2000,46,0.9999999999999998,0.9999999999999998,CA
2000,47,1,0.9999999999999997,CA
2000,48,1,0.9999999999999992,CA
2000,49,1,0.9999999999999998,CA
2000,50,1,0.9999999999999998,CA
2000,51,1,1,CA
2000,52,0.9999999999999994,1,CA
2000,53,1,0.9999999999999998,CA
2000,54,0.9999999999999998,1,CA
2000,55,1,1,CA
2000,56,1,1,CA
2000,57,0.9999999999999991,1,CA
2000,58,0.9999999999999996,0.9999999999999994,CA
2000,59,0.9999999999999991,1,CA
2000,60,0.9999999999999998,0.9999999999999994,CA
2000,61,0.9999999999999996,1,CA
2000,62,0.9999999999999993,1,CA
2000,63,1,1,CA
2000,64,0.9999999999999996,1,CA
2000,65,0.9999999999999994,1,CA
2000,66,0.9999999999999994,0.9999999999999998,CA
2000,67,0.9999999999999997,0.9999999999999998,CA
2000,68,0.9999999999999994,1,CA
2000,69,0.9999999999999997,0.9999999999999994,CA
2000,70,1,0.9999999999999991,CA
2000,71,0.9999999999999997,0.9999999999999993,CA
2000,72,1,1,CA
2000,73,0.9999999999999998,0.9999999999999996,CA
2000,74,0.9999999999999997,0.9999999999999993,CA
2000,75,0.9999999999999994,0.9999999999999991,CA
2000,76,1,0.9999999999999996,CA
2000,77,1,0.9999999999999996,CA
2000,78,0.9999999999999997,1,CA
2000,79,1,1,CA
2000,80,1,0.9999999999999991,CA
2000,81,0.9999999999999996,1,CA
2000,82,0.9999999999999996,0.9999999999999996,CA
2000,83,0.9999999999999991,0.9999999999999996,CA
2000,84,1,1,CA
2000,85,0.9999999999999993,1,CA
2000,86,1,0.9999999999999993,CA
2000,87,1,0.9999999999999992,CA
2000,88,0.999999999999999,1,CA
2000,89,0.9999999999999991,1,CA
2000,90,1,1,CA
2000,91,1,1,CA
2000,92,1,1,CA
2000,93,0.9999999999999994,0.9999999999999999,CA
2000,94,0.9999999999999993,0.9999999999999996,CA
2000,95,0.999999999999999,1,CA
2000,96,0.9999999999999993,1,CA
2000,97,0.9999999999999993,1,CA
2000,98,0.9999999999999993,1,CA
2000,99,0.9999999999999993,1,CA
2000,100,0.9999999999999993,1,CA
2000,101,0.9999999999999993,1,CA
2000,102,0.9999999999999993,1,CA
2000,103,0.9999999999999993,1,CA
2000,104,0.9999999999999993,1,CA
2000,105,0.9999999999999993,1,CA
2000,106,0.9999999999999993,1,CA
2000,107,0.9999999999999993,1,CA
2000,108,0.9999999999999993,1,CA
2000,109,0.9999999999999993,1,CA
2000,110,0.9999999999999993,1,CA
2001,4,1,1,CA
2001,5,1,0.9999999999999998,CA
2001,6,1,1,CA
2001,7,1,1,CA
2001,8,1,1,CA
2001,9,1,1,CA
2001,10,1,1,CA
2001,11,1,1,CA
2001,12,1,1,CA
2001,13,1,1,CA
2001,14,1,1,CA
2001,15,1,0.9999999999999987,CA
2001,16,0.9999999999999993,1,CA
2001,17,1,1,CA
2001,18,0.9999999999999993,1,CA
2001,19,1,0.9999999999999987,CA
2001,20,1,1,CA
2001,21,1,1,CA
2001,22,1,1,CA
2001,23,1,0.9999999999999998,CA
2001,24,0.9999999999999996,1,CA
2001,25,1,1,CA
2001,26,1,1,CA
2001,27,0.9999999999999993,0.9999999999999996,CA
2001,28,1,1,CA
2001,29,0.9999999999999994,1,CA
2001,30,1,1,CA
2001,31,1,1,CA
2001,32,1,1,CA
2001,33,0.9999999999999991,1,CA
2001,34,1,1,CA
2001,35,0.9999999999999998,0.9999999999999992,CA
2001,36,1,1,CA
2001,37,1,1,CA
2001,38,1,1,CA
2001,39,0.9999999999999992,1,CA
2001,40,0.9999999999999998,1,CA
2001,41,1,1,CA
2001,42,1,1,CA
2001,43,1,1,CA
2001,44,0.9999999999999992,0.9999999999999992,CA
2001,45,0.9999999999999998,1,CA
2001,46,0.9999999999999994,0.9999999999999998,CA
2001,47,1,0.9999999999999998,CA
2001,48,1,1,CA
2001,49,1,0.9999999999999994,CA
2001,50,1,1,CA
2001,51,1,0.9999999999999998,CA
2001,52,1,1,CA
2001,53,0.9999999999999996,0.9999999999999998,CA
2001,54,1,1,CA
2001,55,1,1,CA
2001,56,0.9999999999999994,1,CA
2001,57,1,1,CA
2001,58,0.9999999999999994,0.9999999999999994,CA
2001,59,0.9999999999999996,1,CA
2001,60,1,0.9999999999999997,CA
2001,61,0.9999999999999996,1,CA
2001,62,1,1,CA
2001,63,1,0.9999999999999997,CA
2001,64,1,1,CA
2001,65,0.9999999999999993,1,CA
2001,66,1,1,CA
2001,67,1,1,CA
2001,68,1,1,CA
2001,69,0.9999999999999996,1,CA
2001,70,1,1,CA
2001,71,0.9999999999999996,1,CA
2001,72,1,1,CA
2001,73,0.9999999999999993,1,CA
2001,74,1,1,CA
2001,75,0.9999999999999998,0.9999999999999998,CA
2001,76,1,1,CA
2001,77,1,0.9999999999999992,CA
2001,78,0.9999999999999998,0.9999999999999991,CA
2001,79,1,0.9999999999999996,CA
2001,80,0.9999999999999992,1,CA
2001,81,0.9999999999999993,1,CA
2001,82,1,0.9999999999999993,CA
2001,83,1,1,CA
2001,84,1,1,CA
2001,85,0.9999999999999999,1,CA
2001,86,1,0.9999999999999994,CA
2001,87,1,1,CA
2001,88,0.9999999999999994,0.9999999999999998,CA
2001,89,0.9999999999999998,1,CA
2001,90,0.9999999999999991,0.9999999999999996,CA
2001,91,0.9999999999999991,1,CA
2001,92,1,1,CA
2001,93,1,1,CA
2001,94,0.9999999999999997,1,CA
2001,95,0.9999999999999997,1,CA
2001,96,1,1,CA
2001,97,1,1,CA
2001,98,1,1,CA
2001,99,1,1,CA
2001,100,1,1,CA
2001,101,1,1,CA
2001,102,1,1,CA
2001,103,1,1,CA
2001,104,1,1,CA
2001,105,1,1,CA
2001,106,1,1,CA
2001,107,1,1,CA
2001,108,1,1,CA
2001,109,1,1,CA
2001,110,1,1,CA
2002,4,1,1,CA
2002,5,0.9999999999999999,0.9999999999999999,CA
2002,6,1,1,CA
2002,7,1,1,CA
2002,8,1,1,CA
2002,9,1,1,CA
2002,10,1,1,CA
2002,11,1,1,CA
2002,12,1,1,CA
2002,13,1,1,CA
2002,14,1,0.9999999999999984,CA
2002,15,1,0.9999999999999986,CA
2002,16,0.9999999999999999,0.9999999999999998,CA
2002,17,1,1,CA
2002,18,0.9999999999999998,0.9999999999999996,CA
2002,19,1,0.9999999999999988,CA
2002,20,0.999999999999999,1,CA
2002,21,0.9999999999999992,1,CA
2002,22,0.999999999999999,1,CA
2002,23,0.9999999999999993,1,CA
2002,24,1,1,CA
2002,25,1,0.9999999999999998,CA
2002,26,1,1,CA
2002,27,0.9999999999999989,0.9999999999999999,CA
2002,28,0.9999999999999993,0.9999999999999993,CA
2002,29,0.9999999999999994,0.9999999999999996,CA
2002,30,0.9999999999999998,1,CA
2002,31,0.9999999999999991,1,CA
2002,32,1,0.9999999999999994,CA
2002,33,0.999999999999999,1,CA
2002,34,0.9999999999999991,1,CA
2002,35,1,0.9999999999999991,CA
2002,36,1,1,CA
2002,37,0.9999999999999996,0.9999999999999996,CA
2002,38,0.9999999999999993,1,CA
2002,39,1,1,CA
2002,40,0.9999999999999999,0.9999999999999998,CA
2002,41,0.9999999999999997,1,CA
2002,42,1,1,CA
2002,43,1,1,CA
2002,44,0.9999999999999999,1,CA
2002,45,0.9999999999999997,1,CA
2002,46,0.9999999999999999,0.9999999999999993,CA
2002,47,1,1,CA
2002,48,0.9999999999999994,1,CA
2002,49,0.9999999999999998,0.9999999999999993,CA
2002,50,0.9999999999999994,0.9999999999999993,CA
2002,51,1,0.9999999999999993,CA
2002,52,1,0.9999999999999993,CA
2002,53,1,0.9999999999999991,CA
2002,54,0.9999999999999993,0.9999999999999991,CA
2002,55,1,1,CA
2002,56,0.9999999999999999,1,CA
2002,57,0.9999999999999994,1,CA
2002,58,1,1,CA
2002,59,1,0.9999999999999998,CA
2002,60,1,0.9999999999999994,CA
2002,61,0.9999999999999992,0.9999999999999997,CA
2002,62,1,1,CA
2002,63,0.9999999999999996,0.9999999999999998,CA
2002,64,1,1,CA
2002,65,1,1,CA
2002,66,1,1,CA
2002,67,1,0.9999999999999991,CA
2002,68,0.9999999999999997,0.9999999999999991,CA
2002,69,1,1,CA
2002,70,0.9999999999999994,1,CA
2002,71,0.9999999999999996,1,CA
2002,72,0.9999999999999997,1,CA
2002,73,0.9999999999999994,0.9999999999999989,CA
2002,74,0.9999999999999997,0.9999999999999994,CA
2002,75,0.9999999999999996,1,CA
2002,76,1,0.9999999999999991,CA
2002,77,1,0.9999999999999992,CA
2002,78,0.9999999999999991,0.9999999999999998,CA
2002,79,0.9999999999999991,1,CA
2002,80,1,0.9999999999999998,CA
2002,81,0.9999999999999994,1,CA
2002,82,0.9999999999999993,1,CA
2002,83,0.9999999999999998,0.9999999999999996,CA
2002,84,0.9999999999999994,0.9999999999999992,CA
2002,85,1,0.9999999999999994,CA
2002,86,0.9999999999999993,1,CA
2002,87,1,0.9999999999999996,CA
2002,88,1,0.9999999999999997,CA
2002,89,0.9999999999999999,0.9999999999999994,CA
2002,90,0.9999999999999993,0.9999999999999996,CA
2002,91,1,1,CA
2002,92,0.999999999999999,1,CA
2002,93,0.9999999999999996,0.9999999999999994,CA
2002,94,0.9999999999999988,1,CA
2002,95,1,1,CA
2002,96,1,1,CA
2002,97,1,1,CA
2002,98,1,1,CA
2002,99,1,1,CA
2002,100,1,1,CA
2002,101,1,1,CA
2002,102,1,1,CA
2002,103,1,1,CA
2002,104,1,1,CA
2002,105,1,1,CA
2002,106,1,1,CA
2002,107,1,1,CA
2002,108,1,1,CA
2002,109,1,1,CA
2002,110,1,1,CA
2003,4,1,1,CA
2003,5,0.9999999999999999,0.9999999999999999,CA
2003,6,1,1,CA
2003,7,1,1,CA
2003,8,1,1,CA
2003,9,1,1,CA
2003,10,1,1,CA
2003,11,1,1,CA
2003,12,1,1,CA
2003,13,1,1,CA
2003,14,1,1,CA
2003,15,0.9999999999999994,1,CA
2003,16,1,0.9999999999999986,CA
2003,17,0.9999999999999994,0.999999999999997,CA
2003,18,1,1,CA
2003,19,0.9999999999999994,1,CA
2003,20,0.9999999999999999,0.9999999999999988,CA
2003,21,0.9999999999999993,0.9999999999999993,CA
2003,22,0.9999999999999993,1,CA
2003,23,1,0.9999999999999983,CA
2003,24,0.9999999999999996,1,CA
2003,25,0.999999999999999,0.9999999999999993,CA
2003,26,1,1,CA
2003,27,0.9999999999999993,1,CA
2003,28,0.9999999999999992,1,CA
2003,29,1,0.9999999999999997,CA
2003,30,0.9999999999999993,1,CA
2003,31,1,0.9999999999999991,CA
2003,32,1,0.9999999999999997,CA
2003,33,1,0.9999999999999998,CA
2003,34,1,1,CA
2003,35,0.9999999999999998,1,CA
2003,36,1,1,CA
2003,37,0.9999999999999993,1,CA
2003,38,1,1,CA
2003,39,0.9999999999999998,1,CA
2003,40,0.9999999999999993,0.9999999999999998,CA
2003,41,0.9999999999999993,0.9999999999999996,CA
2003,42,0.9999999999999996,1,CA
2003,43,1,1,CA
2003,44,0.9999999999999999,0.9999999999999993,CA
2003,45,1,0.9999999999999998,CA
2003,46,0.9999999999999998,0.9999999999999996,CA
2003,47,1,0.9999999999999994,CA
2003,48,1,1,CA
2003,49,1,1,CA
2003,50,0.9999999999999994,1,CA
2003,51,0.999999999999999,1,CA
2003,52,1,1,CA
2003,53,1,1,CA
2003,54,1,1,CA
2003,55,0.9999999999999989,0.9999999999999992,CA
2003,56,1,1,CA
2003,57,0.9999999999999996,1,CA
2003,58,1,0.9999999999999993,CA
2003,59,0.9999999999999992,1,CA
2003,60,1,1,CA
2003,61,1,1,CA
2003,62,0.9999999999999996,1,CA
2003,63,1,0.9999999999999998,CA
2003,64,0.9999999999999997,1,CA
2003,65,1,0.9999999999999993,CA
2003,66,1,1,CA
2003,67,1,1,CA
2003,68,1,1,CA
2003,69,1,1,CA
2003,70,0.9999999999999993,1,CA
2003,71,0.9999999999999998,1,CA
2003,72,0.9999999999999998,0.9999999999999999,CA
2003,73,0.9999999999999996,0.9999999999999993,CA
2003,74,0.9999999999999996,0.9999999999999994,CA
2003,75,1,0.9999999999999996,CA
2003,76,1,1,CA
2003,77,0.9999999999999993,1,CA
2003,78,1,1,CA
2003,79,0.9999999999999991,0.9999999999999993,CA
2003,80,1,1,CA
2003,81,0.9999999999999996,0.9999999999999998,CA
2003,82,1,1,CA
2003,83,0.9999999999999992,1,CA
2003,84,0.9999999999999998,0.9999999999999998,CA
2003,85,0.9999999999999997,1,CA
2003,86,0.9999999999999996,0.9999999999999998,CA
2003,87,0.9999999999999992,0.9999999999999991,CA
2003,88,1,0.9999999999999993,CA
2003,89,0.9999999999999999,1,CA
2003,90,1,0.9999999999999994,CA
2003,91,0.9999999999999994,0.9999999999999994,CA
2003,92,1,0.9999999999999993,CA
2003,93,0.9999999999999996,1,CA
2003,94,0.999999999999999,1,CA
2003,95,0.999999999999999,1,CA
2003,96,1,0.9999999999999996,CA
2003,97,1,0.9999999999999996,CA
2003,98,1,0.9999999999999996,CA
2003,99,1,0.9999999999999996,CA
2003,100,1,0.9999999999999996,CA
2003,101,1,0.9999999999999996,CA
2003,102,1,0.9999999999999996,CA
2003,103,1,0.9999999999999996,CA
2003,104,1,0.9999999999999996,CA
2003,105,1,0.9999999999999996,CA
2003,106,1,0.9999999999999996,CA
2003,107,1,0.9999999999999996,CA
2003,108,1,0.9999999999999996,CA
2003,109,1,0.9999999999999996,CA
2003,110,1,0.9999999999999996,CA
2004,4,1,1,CA
2004,5,0.9999999999999999,1,CA
2004,6,1,1,CA
2004,7,1,1,CA
2004,8,1,1,CA
2004,9,1,1,CA
2004,10,1,1,CA
2004,11,1,1,CA
2004,12,1,1,CA
2004,13,1,1,CA
2004,14,1,1,CA
2004,15,1,1,CA
2004,16,1,0.9999999999999968,CA
2004,17,1,0.9999999999999964,CA
2004,18,0.9999999999999993,1,CA
2004,19,0.9999999999999996,0.9999999999999984,CA
2004,20,1,1,CA
2004,21,1,1,CA
2004,22,0.999999999999999,1,CA
2004,23,1,1,CA
2004,24,0.9999999999999999,1,CA
2004,25,1,1,CA
2004,26,1,1,CA
2004,27,0.9999999999999994,0.9999999999999998,CA
2004,28,1,0.9999999999999998,CA
2004,29,0.9999999999999996,0.999999999999999,CA
2004,30,0.9999999999999991,0.9999999999999991,CA
2004,31,1,0.9999999999999999,CA
2004,32,0.9999999999999997,0.9999999999999996,CA
2004,33,0.9999999999999999,0.9999999999999998,CA
2004,34,0.9999999999999991,0.9999999999999993,CA
2004,35,1,1,CA
2004,36,1,1,CA
2004,37,1,0.9999999999999993,CA
2004,38,0.9999999999999999,1,CA
2004,39,0.9999999999999994,0.9999999999999991,CA
2004,40,0.9999999999999996,1,CA
2004,41,0.999999999999999,1,CA
2004,42,1,0.9999999999999991,CA
2004,43,0.9999999999999992,1,CA
2004,44,0.9999999999999993,0.9999999999999998,CA
2004,45,0.9999999999999989,1,CA
2004,46,0.9999999999999999,1,CA
2004,47,0.9999999999999993,0.9999999999999996,CA
2004,48,0.9999999999999994,0.9999999999999993,CA
2004,49,1,1,CA
2004,50,1,0.9999999999999998,CA
2004,51,0.9999999999999989,0.9999999999999998,CA
2004,52,0.9999999999999999,1,CA
2004,53,0.9999999999999993,1,CA
2004,54,1,0.9999999999999993,CA
2004,55,0.9999999999999991,1,CA
2004,56,1,0.9999999999999993,CA
2004,57,1,1,CA
2004,58,0.9999999999999991,0.9999999999999996,CA
2004,59,1,1,CA
2004,60,1,0.9999999999999992,CA
2004,61,0.9999999999999994,1,CA
2004,62,1,1,CA
2004,63,1,0.9999999999999997,CA
2004,64,0.9999999999999997,1,CA
2004,65,1,0.9999999999999997,CA
2004,66,0.9999999999999997,0.9999999999999989,CA
2004,67,1,1,CA
2004,68,0.9999999999999993,0.9999999999999999,CA
2004,69,1,1,CA
2004,70,0.9999999999999993,1,CA
2004,71,1,1,CA
2004,72,0.9999999999999991,1,CA
2004,73,1,1,CA
2004,74,1,1,CA
2004,75,1,0.9999999999999998,CA
2004,76,0.9999999999999994,0.9999999999999998,CA
2004,77,1,0.9999999999999998,CA
2004,78,1,0.999999999999999,CA
2004,79,1,0.999999999999999,CA
2004,80,1,1,CA
2004,81,0.9999999999999994,0.9999999999999998,CA
2004,82,1,0.9999999999999994,CA
2004,83,1,1,CA
