year,age,F,M,province
2000,4,0,0,CA
2000,5,1.840618000303023e-18,0,CA
2000,6,0.0015890222092257336,0.0011256784250561892,CA
2000,7,0.004794949864396684,0.006671218937245299,CA
2000,8,0.0068028733499411655,0.00969486402497828,CA
2000,9,0.007850833799293822,0.010898523505226862,CA
2000,10,0.00805686975033913,0.010670903655610305,CA
2000,11,0.007485431360674669,0.009248624927226511,CA
2000,12,0.006184706666816584,0.006797836780015153,CA
2000,13,0.004210085383480474,0.0034570939587493057,CA
2000,14,0.0016402138530825533,0,CA
2000,15,0,0,CA
2000,16,3.89094085786473e-18,0,CA
2000,17,0,0,CA
2000,18,5.7985425775289505e-18,0,CA
2000,19,0,9.468761333710237e-19,CA
2000,20,3.837343266493246e-18,3.750317090677854e-18,CA
2000,21,0,1.8589897368383626e-18,CA
2000,22,0,0,CA
2000,23,1.8984960273655093e-18,0,CA
2000,24,0,0,CA
2000,25,0,9.089400121836654e-19,CA
2000,26,1.8831248035487267e-18,0,CA
2000,27,2.8192659065976714e-18,0,CA
2000,28,0,9.051598177620162e-19,CA
2000,29,4.684450156913803e-18,3.6192658243102996e-18,CA
2000,30,0,0,CA
2000,31,3.738813648521701e-18,1.808992788053813e-18,CA
2000,32,0,0,CA
2000,33,1.866248411391269e-18,1.809667514654071e-18,CA
2000,34,0,0,CA
2000,35,9.320781372225224e-19,0,CA
2000,36,0,0,CA
2000,37,0,0,CA
2000,38,2.7941288926307778e-18,1.814603668730608e-18,CA
2000,39,0,0,CA
2000,40,1.862765989361431e-18,0,CA
2000,41,0,0,CA
2000,42,2.794932627077554e-18,0,CA
2000,43,1.8637108443021672e-18,0,CA
2000,44,1.8642340931200413e-18,0,CA
2000,45,0,0,CA
2000,46,0,0,CA
2000,47,2.7996537991951403e-18,0,CA
2000,48,3.734781324567344e-18,0,CA
2000,49,0,0,CA
2000,50,1.8696510576272484e-18,0,CA
2000,51,5.613005315071795e-18,9.088914791118593e-19,CA
2000,52,0,2.727930692234038e-18,CA
2000,53,2.8114771883913037e-18,0,CA
2000,54,0,9.10358284465885e-19,CA
2000,55,4.6962154823809826e-18,0,CA
2000,56,3.7618053834178305e-18,0,CA
2000,57,0,3.651479527096668e-18,CA
2000,58,0,0,CA
2000,59,0,1.830780301344827e-18,CA
2000,60,0,0,CA
2000,61,0,2.7557897797563056e-18,CA
2000,62,0,0,CA
