year,sex,age,prev,inc
2000,0,3,0.06299361066487574,0.050334106738083445
2001,0,3,0.06169449743527079,0.049353539114300474
2002,0,3,0.06031402583483324,0.048392074101592186
2003,0,3,0.05885890286719613,0.04744933955861827
2004,0,3,0.05733607577969597,0.046524970593789405
2005,0,3,0.055752677155174304,0.045618609424033965
2006,0,3,0.054115969738808424,0.044729905236315357
2007,0,3,0.05243329159104818,0.043858514051847874
2008,0,3,0.050712002137916136,0.04300409859295719
2009,0,3,0.04895942966260445,0.042166328152534904
2010,0,3,0.0471828207481183,0.041344878466036336
2011,0,3,0.04538929214041857,0.04053943158597152
2012,0,3,0.04358578545594071,0.03974967575884185
2013,0,3,0.041779025107411535,0.03897530530447354
2014,0,3,0.03997547976848969,0.0382160204977024
2015,0,3,0.03818132764189521,0.037471527452362985
2016,0,3,0.036402425738341564,0.036741538007538266
2017,0,3,0.03464428331570227,0.036025769616024814
2018,0,3,0.032912039570371886,0.035323945234971246
2019,0,3,0.031210445616598602,0.03463579321864693
2020,0,3,0.029543850735497094,0.03396104721329959
2021,0,3,0.027916192824248287,0.033299446054061564
2022,0,3,0.02633099292831334,0.032650733663864
2023,0,3,0.024791353695904673,0.03201465895432074
2024,0,3,0.0232999615549341,0.03139097572854274
2025,0,3,0.02185909237855726,0.03077944258584615
2026,0,3,0.02185909237855726,0.03077944258584615
2027,0,3,0.02185909237855726,0.03077944258584615
2028,0,3,0.02185909237855726,0.03077944258584615
2029,0,3,0.02185909237855726,0.03077944258584615
2030,0,3,0.02185909237855726,0.03077944258584615
2031,0,3,0.02185909237855726,0.03077944258584615
2032,0,3,0.02185909237855726,0.03077944258584615
2033,0,3,0.02185909237855726,0.03077944258584615
2034,0,3,0.02185909237855726,0.03077944258584615
2035,0,3,0.02185909237855726,0.03077944258584615
2036,0,3,0.02185909237855726,0.03077944258584615
2037,0,3,0.02185909237855726,0.03077944258584615
2038,0,3,0.02185909237855726,0.03077944258584615
2039,0,3,0.02185909237855726,0.03077944258584615
2040,0,3,0.02185909237855726,0.03077944258584615
2041,0,3,0.02185909237855726,0.03077944258584615
2042,0,3,0.02185909237855726,0.03077944258584615
2043,0,3,0.02185909237855726,0.03077944258584615
2044,0,3,0.02185909237855726,0.03077944258584615
2045,0,3,0.02185909237855726,0.03077944258584615
2046,0,3,0.02185909237855726,0.03077944258584615
2047,0,3,0.02185909237855726,0.03077944258584615
2048,0,3,0.02185909237855726,0.03077944258584615
2049,0,3,0.02185909237855726,0.03077944258584615
2050,0,3,0.02185909237855726,0.03077944258584615
2051,0,3,0.02185909237855726,0.03077944258584615
2052,0,3,0.02185909237855726,0.03077944258584615
2053,0,3,0.02185909237855726,0.03077944258584615
2054,0,3,0.02185909237855726,0.03077944258584615
2055,0,3,0.02185909237855726,0.03077944258584615
2056,0,3,0.02185909237855726,0.03077944258584615
