year,province,N,prop_male,projection_scenario
2000,CA,338738,0.5124137238809936,past
2000,BC,41433,0.514420872251587,past
2001,CA,328494,0.5133122674995586,past
2001,BC,40236,0.513420817178646,past
2002,CA,327964,0.5124007513019722,past
2002,BC,39775,0.5152985543683218,past
2003,CA,330200,0.5128134463961236,past
2003,BC,40391,0.5149662053427744,past
2004,CA,338047,0.5138457078453588,past
2004,BC,40161,0.5137073280047808,past
2005,CA,339184,0.5139540780225482,past
2005,BC,40542,0.515687435252331,past
2006,CA,344791,0.5128556139806434,past
2006,BC,41198,0.5102917617360067,past
2007,CA,360064,0.5129865801635265,past
2007,BC,42394,0.5168420059442373,past
2008,CA,372788,0.5112932819725957,past
2008,BC,44090,0.5154456792923565,past
2009,CA,377768,0.5133759344359501,past
2009,BC,44558,0.5166748956416356,past
2010,CA,377867,0.5127280233521319,past
2010,BC,44428,0.5184343206986585,past
2011,CA,376475,0.5122172787037652,past
2011,BC,43969,0.5114285064477245,past
2012,CA,377796,0.5124035193596544,past
2012,BC,43672,0.5142196372962081,past
2013,CA,380501,0.5139960210354243,past
2013,BC,44172,0.513039934800326,past
2014,CA,381145,0.5118498209342901,past
2014,BC,43991,0.5149235070809939,past
2015,CA,382102,0.5123579567759394,past
2015,BC,44819,0.5177714808451773,past
2016,CA,383216,0.5119227798421778,past
2016,BC,44941,0.5153645891279678,past
2017,CA,378918,0.5136177220401248,past
2017,BC,45081,0.5135644728377808,past
2018,CA,376127,0.5130554307454663,past
2018,BC,44347,0.5108575551897535,past
2019,CA,372056,0.5120035693551508,past
2019,BC,43439,0.5139621077833283,past
2020,CA,369322,0.5125175321264371,past
2020,BC,43134,0.5180831826401446,past
2021,CA,358001,0.5131689576286099,past
2021,BC,42653,0.5134926030994302,past
2022,CA,362600,0.512134583563155,LG
2022,CA,389700,0.5121888632281242,M1
2022,CA,389700,0.5121888632281242,M2
2022,CA,389700,0.5119322555812164,M3
2022,CA,389700,0.5121888632281242,M4
2022,CA,389500,0.5121951219512195,M5
2022,CA,419500,0.5120381406436234,HG
2022,CA,419200,0.5121660305343512,SA
2022,CA,362900,0.5119867732157619,FA
2022,BC,42200,0.5118483412322274,LG
2022,BC,45500,0.512087912087912,M1
2022,BC,45300,0.5143487858719646,M2
2022,BC,45800,0.5131004366812227,M3
2022,BC,45700,0.5120350109409191,M4
2022,BC,46400,0.5129310344827587,M5
2022,BC,49200,0.5121951219512195,HG
2022,BC,49200,0.5121951219512195,SA
2022,BC,42200,0.514218009478673,FA
2023,CA,360900,0.5120532003325021,LG
2023,CA,391900,0.5121204388874713,M1
2023,CA,391900,0.5121204388874713,M2
2023,CA,391800,0.5122511485451761,M3
2023,CA,391900,0.5121204388874713,M4
2023,CA,391600,0.5122574055158324,M5
2023,CA,426200,0.5119662130455185,HG
2023,CA,425800,0.5119774542038515,SA
2023,CA,361200,0.5121816168327796,FA
2023,BC,41800,0.5119617224880383,LG
2023,BC,45500,0.512087912087912,M1
2023,BC,45400,0.513215859030837,M2
2023,BC,45900,0.5119825708061002,M3
2023,BC,45700,0.5120350109409191,M4
2023,BC,46600,0.5128755364806867,M5
2023,BC,49800,0.5120481927710844,HG
2023,BC,49700,0.5130784708249497,SA
2023,BC,41800,0.5119617224880383,FA
2024,CA,359300,0.512106874478152,LG
2024,CA,393900,0.512058898197512,M1
2024,CA,393900,0.512058898197512,M2
2024,CA,393900,0.512058898197512,M3
2024,CA,394000,0.5121827411167512,M4
2024,CA,393700,0.5120650241300483,M5
2024,CA,432400,0.5120259019426457,HG
2024,CA,432000,0.5120370370370371,SA
2024,CA,359700,0.51209341117598,FA
2024,BC,41400,0.5120772946859904,LG
2024,BC,45500,0.512087912087912,M1
2024,BC,45300,0.5143487858719646,M2
2024,BC,46000,0.5130434782608696,M3
2024,BC,45800,0.5131004366812227,M4
2024,BC,46900,0.511727078891258,M5
2024,BC,50300,0.5129224652087475,HG
2024,BC,50200,0.5139442231075697,SA
2024,BC,41400,0.5120772946859904,FA
2025,CA,358000,0.5120111731843575,LG
2025,CA,395900,0.5122505683253347,M1
2025,CA,395900,0.5122505683253347,M2
2025,CA,395900,0.511997979287699,M3
2025,CA,396000,0.5121212121212121,M4
2025,CA,395700,0.5120040434672732,M5
2025,CA,438400,0.5120894160583942,HG
2025,CA,437800,0.5121059844677935,SA
2025,CA,358400,0.5119977678571429,FA
2025,BC,41000,0.5121951219512195,LG
2025,BC,45500,0.512087912087912,M1
2025,BC,45300,0.5121412803532008,M2
2025,BC,46100,0.5119305856832972,M3
2025,BC,45800,0.5131004366812227,M4
2025,BC,47100,0.5116772823779193,M5
2025,BC,50800,0.5118110236220472,HG
2025,BC,50700,0.5128205128205128,SA
2025,BC,41000,0.5121951219512195,FA
2026,CA,356700,0.5121951219512195,LG
2026,CA,397900,0.511937672782106,M1
2026,CA,397900,0.5121889922090977,M2
2026,CA,397800,0.5120663650075414,M3
2026,CA,398000,0.5120603015075377,M4
2026,CA,397600,0.5120724346076458,M5
2026,CA,444200,0.5121566861773975,HG
2026,CA,443600,0.5119477006311993,SA
2026,CA,357300,0.5118947663028267,FA
2026,BC,40600,0.5123152709359606,LG
2026,BC,45600,0.5131578947368421,M1
2026,BC,45300,0.5121412803532008,M2
2026,BC,46200,0.512987012987013,M3
2026,BC,45900,0.5119825708061002,M4
2026,BC,47300,0.5116279069767442,M5
2026,BC,51300,0.5126705653021443,HG
2026,BC,51200,0.51171875,SA
2026,BC,40700,0.5135135135135135,FA
2027,CA,355600,0.5120922384701913,LG
2027,CA,399800,0.5120060030015008,M1
2027,CA,399800,0.5120060030015008,M2
2027,CA,399800,0.5120060030015008,M3
2027,CA,399900,0.512128032008002,M4
2027,CA,399500,0.5121401752190238,M5
2027,CA,450000,0.512,HG
2027,CA,449200,0.5120213713268033,SA
2027,CA,356200,0.5120718697361033,FA
2027,BC,40300,0.5136476426799007,LG
2027,BC,45600,0.5131578947368421,M1
2027,BC,45400,0.513215859030837,M2
2027,BC,46400,0.5129310344827587,M3
2027,BC,45900,0.5119825708061002,M4
2027,BC,47500,0.5136842105263157,M5
2027,BC,51800,0.5115830115830116,HG
2027,BC,51700,0.5125725338491296,SA
2027,BC,40400,0.5123762376237624,FA
2028,CA,354600,0.5121263395375071,LG
2028,CA,401700,0.5120736868309684,M1
2028,CA,401800,0.5119462419113987,M2
2028,CA,401700,0.5120736868309684,M3
2028,CA,401900,0.5120676785269968,M4
2028,CA,401400,0.5122072745391131,M5
2028,CA,455700,0.5119596225587009,HG
2028,CA,454700,0.5122058500109963,SA
2028,CA,355300,0.5122431747818744,FA
2028,BC,40000,0.5125,LG
2028,BC,45700,0.5120350109409191,M1
2028,BC,45400,0.513215859030837,M2
2028,BC,46500,0.5118279569892473,M3
2028,BC,46000,0.5130434782608696,M4
2028,BC,47800,0.5125523012552301,M5
2028,BC,52300,0.5124282982791587,HG
2028,BC,52200,0.5134099616858238,SA
2028,BC,40100,0.513715710723192,FA
2029,CA,353900,0.5120090421022888,LG
2029,CA,403800,0.5121347201584943,M1
2029,CA,403800,0.5121347201584943,M2
2029,CA,403800,0.5121347201584943,M3
2029,CA,403900,0.5122555087893043,M4
2029,CA,403400,0.5121467526028756,M5
2029,CA,461500,0.5120260021668472,HG
2029,CA,460400,0.5121633362293657,SA
2029,CA,354600,0.5121263395375071,FA
2029,BC,39800,0.5125628140703518,LG
2029,BC,45800,0.5131004366812227,M1
2029,BC,45500,0.512087912087912,M2
2029,BC,46700,0.5117773019271948,M3
2029,BC,46100,0.5119305856832972,M4
2029,BC,48000,0.5125,M5
2029,BC,52800,0.5132575757575758,HG
2029,BC,52700,0.5123339658444023,SA
2029,BC,39900,0.5137844611528822,FA
2030,CA,353300,0.512029436739315,LG
2030,CA,406000,0.5120689655172413,M1
2030,CA,406000,0.5120689655172413,M2
2030,CA,406000,0.5120689655172413,M3
2030,CA,406100,0.5121891159812854,M4
2030,CA,405600,0.5120808678500987,M5
2030,CA,467400,0.5119811724433034,HG
2030,CA,466200,0.512012012012012,SA
2030,CA,354200,0.5121400338791643,FA
2030,BC,39600,0.5126262626262627,LG
2030,BC,45900,0.5119825708061002,M1
2030,BC,45600,0.5131578947368421,M2
2030,BC,46900,0.511727078891258,M3
2030,BC,46300,0.5118790496760259,M4
2030,BC,48300,0.5134575569358178,M5
2030,BC,53500,0.5121495327102804,HG
2030,BC,53300,0.5121951219512195,SA
2030,BC,39700,0.5138539042821159,FA
2031,CA,353000,0.5118980169971672,LG
2031,CA,408400,0.511998041136141,M1
2031,CA,408400,0.5122428991185113,M2
2031,CA,408400,0.511998041136141,M3
2031,CA,408500,0.5121175030599755,M4
2031,CA,407900,0.5121353272860996,M5
2031,CA,473500,0.5121436114044351,HG
2031,CA,472100,0.512179622961237,SA
2031,CA,353900,0.5120090421022888,FA
2031,BC,39500,0.5113924050632911,LG
2031,BC,46100,0.5119305856832972,M1
2031,BC,45800,0.5131004366812227,M2
2031,BC,47100,0.5116772823779193,M3
2031,BC,46500,0.5118279569892473,M4
2031,BC,48700,0.5112936344969199,M5
2031,BC,54100,0.512014787430684,HG
2031,BC,53900,0.5139146567717996,SA
2031,BC,39600,0.5126262626262627,FA
2032,CA,353000,0.5118980169971672,LG
2032,CA,411000,0.5121654501216545,M1
2032,CA,411100,0.5120408659693505,M2
2032,CA,411100,0.5120408659693505,M3
2032,CA,411200,0.5121595330739299,M4
2032,CA,410500,0.5120584652862363,M5
2032,CA,480000,0.5120833333333333,HG
2032,CA,478400,0.512123745819398,SA
2032,CA,354000,0.5121468926553673,FA
2032,BC,39400,0.5126903553299492,LG
2032,BC,46400,0.5129310344827587,M1
2032,BC,46000,0.5130434782608696,M2
2032,BC,47400,0.5126582278481012,M3
2032,BC,46800,0.5128205128205128,M4
2032,BC,49000,0.5122448979591837,M5
2032,BC,54800,0.5127737226277372,HG
2032,BC,54600,0.5128205128205128,SA
2032,BC,39500,0.5139240506329114,FA
2033,CA,353300,0.512029436739315,LG
2033,CA,414000,0.5120772946859904,M1
2033,CA,414100,0.511953634387829,M2
2033,CA,414000,0.5120772946859904,M3
2033,CA,414200,0.512071463061323,M4
2033,CA,413400,0.5120948234155781,M5
2033,CA,486800,0.5121199671322926,HG
2033,CA,485000,0.5121649484536083,SA
2033,CA,354500,0.5119887165021156,FA
2033,BC,39400,0.5126903553299492,LG
2033,BC,46700,0.5117773019271948,M1
2033,BC,46300,0.5118790496760259,M2
2033,BC,47800,0.5125523012552301,M3
2033,BC,47100,0.5116772823779193,M4
2033,BC,49500,0.5131313131313131,M5
2033,BC,55600,0.512589928057554,HG
2033,BC,55400,0.5126353790613718,SA
2033,BC,39500,0.5139240506329114,FA
2034,CA,354000,0.5121468926553673,LG
2034,CA,417400,0.5119789171058936,M1
2034,CA,417400,0.5122184954480115,M2
2034,CA,417400,0.5122184954480115,M3
2034,CA,417500,0.5120958083832335,M4
2034,CA,416700,0.5121190304775618,M5
2034,CA,494000,0.5121457489878543,HG
2034,CA,492000,0.5119918699186992,SA
2034,CA,355300,0.5122431747818744,FA
2034,BC,39400,0.5126903553299492,LG
2034,BC,47000,0.5127659574468085,M1
2034,BC,46600,0.5128755364806867,M2
2034,BC,48200,0.5124481327800829,M3
2034,BC,47400,0.5126582278481012,M4
2034,BC,50000,0.512,M5
2034,BC,56400,0.5124113475177305,HG
2034,BC,56200,0.5124555160142349,SA
2034,BC,39600,0.5126262626262627,FA
2035,CA,355200,0.5121058558558559,LG
2035,CA,421100,0.5122298741391593,M1
2035,CA,421200,0.5121082621082621,M2
2035,CA,421200,0.5121082621082621,M3
2035,CA,421300,0.5119867078091621,M4
2035,CA,420400,0.5121313035204567,M5
2035,CA,501700,0.512058999402033,HG
2035,CA,499500,0.5121121121121122,SA
2035,CA,356600,0.5120583286595626,FA
2035,BC,39500,0.5139240506329114,LG
2035,BC,47400,0.5126582278481012,M1
2035,BC,47000,0.5127659574468085,M2
2035,BC,48600,0.5123456790123457,M3
2035,BC,47900,0.511482254697286,M4
2035,BC,50500,0.5128712871287129,M5
2035,BC,57300,0.5130890052356021,HG
2035,BC,57000,0.512280701754386,SA
2035,BC,39700,0.5113350125944585,FA
2036,CA,356700,0.5121951219512195,LG
2036,CA,425300,0.5121090994592052,M1
2036,CA,425400,0.5119887165021156,M2
2036,CA,425400,0.5119887165021156,M3
2036,CA,425400,0.5122237893747061,M4
2036,CA,424500,0.5121319199057714,M5
2036,CA,509900,0.5120611884683272,HG
2036,CA,507400,0.5120220733149389,SA
2036,CA,358200,0.5120044667783361,FA
2036,BC,39600,0.5126262626262627,LG
2036,BC,47900,0.511482254697286,M1
2036,BC,47400,0.5126582278481012,M2
2036,BC,49100,0.5132382892057027,M3
2036,BC,48300,0.5134575569358178,M4
2036,BC,51100,0.512720156555773,M5
2036,BC,58300,0.5128644939965694,HG
2036,BC,58000,0.5120689655172413,SA
2036,BC,39800,0.5125628140703518,FA
2037,CA,358500,0.5121338912133891,LG
2037,CA,429800,0.5120986505351326,M1
2037,CA,429900,0.5119795301232845,M2
2037,CA,429900,0.5122121423586881,M3
2037,CA,429900,0.5122121423586881,M4
2037,CA,429000,0.5121212121212121,M5
2037,CA,518500,0.5120540019286403,HG
2037,CA,515799.99999999994,0.5120201628538193,SA
2037,CA,360100,0.5120799777839489,FA
2037,BC,39800,0.5125628140703518,LG
2037,BC,48400,0.512396694214876,M1
2037,BC,47900,0.511482254697286,M2
2037,BC,49700,0.5110663983903421,M3
2037,BC,48900,0.5112474437627812,M4
2037,BC,51700,0.5125725338491296,M5
2037,BC,59300,0.5126475548060708,HG
2037,BC,58900,0.5127334465195246,SA
2037,BC,40000,0.5125,FA
2038,CA,360500,0.5120665742024966,LG
2038,CA,434500,0.5120828538550057,M1
2038,CA,434600,0.5121951219512195,M2
2038,CA,434600,0.5121951219512195,M3
2038,CA,434600,0.5121951219512195,M4
2038,CA,433600,0.5122232472324724,M5
2038,CA,527400,0.5121350018960941,HG
2038,CA,524400,0.5122044241037376,SA
2038,CA,362300,0.5120066243444659,FA
2038,BC,40000,0.5125,LG
2038,BC,48900,0.5132924335378323,M1
2038,BC,48400,0.512396694214876,M2
2038,BC,50300,0.5129224652087475,M3
2038,BC,49400,0.5121457489878543,M4
2038,BC,52500,0.5123809523809524,M5
2038,BC,60300,0.5124378109452736,HG
2038,BC,60000,0.5116666666666667,SA
2038,BC,40200,0.5124378109452736,FA
2039,CA,362700,0.5119933829611248,LG
2039,CA,439400,0.512061902594447,M1
2039,CA,439500,0.5121729237770194,M2
2039,CA,439600,0.512056414922657,M3
2039,CA,439500,0.5121729237770194,M4
2039,CA,438400,0.5120894160583942,M5
2039,CA,536600,0.5121133060007454,HG
2039,CA,533400,0.5119985001874766,SA
2039,CA,364600,0.5120680197476687,FA
2039,BC,40200,0.5124378109452736,LG
2039,BC,49500,0.5131313131313131,M1
2039,BC,48900,0.5132924335378323,M2
2039,BC,50900,0.5127701375245579,M3
2039,BC,50000,0.512,M4
2039,BC,53200,0.5131578947368421,M5
2039,BC,61500,0.5121951219512195,HG
2039,BC,61000,0.5131147540983606,SA
2039,BC,40500,0.5135802469135803,FA
2040,CA,364800,0.5120614035087719,LG
2040,CA,444400,0.5121512151215122,M1
2040,CA,444500,0.5120359955005624,M2
2040,CA,444500,0.5120359955005624,M3
2040,CA,444500,0.5120359955005624,M4
2040,CA,443300,0.5120685765847056,M5
2040,CA,546000,0.512087912087912,HG
2040,CA,542500,0.512073732718894,SA
2040,CA,366800,0.5122682660850599,FA
2040,BC,40500,0.5135802469135803,LG
2040,BC,50100,0.5129740518962076,M1
2040,BC,49500,0.5131313131313131,M2
2040,BC,51600,0.5116279069767442,M3
2040,BC,50700,0.5128205128205128,M4
2040,BC,54000,0.512962962962963,M5
2040,BC,62600,0.512779552715655,HG
2040,BC,62200,0.5128617363344051,SA
2040,BC,40800,0.5122549019607843,FA
2041,CA,366900,0.5121286454074679,LG
2041,CA,449300,0.5121299799688405,M1
2041,CA,449400,0.5122385402759234,M2
2041,CA,449400,0.5122385402759234,M3
2041,CA,449400,0.5120160213618158,M4
2041,CA,448200,0.5120481927710844,M5
2041,CA,555500,0.5121512151215122,HG
2041,CA,551700,0.5120536523472902,SA
2041,CA,369000,0.5121951219512195,FA
2041,BC,40700,0.5135135135135135,LG
2041,BC,50700,0.5128205128205128,M1
2041,BC,50100,0.5129740518962076,M2
2041,BC,52200,0.5134099616858238,M3
2041,BC,51300,0.5126705653021443,M4
2041,BC,54800,0.5127737226277372,M5
2041,BC,63800,0.5125391849529781,HG
2041,BC,63300,0.5134281200631912,SA
2041,BC,41000,0.5121951219512195,FA
2042,CA,368800,0.5119305856832972,LG
2042,CA,454100,0.5120017617264919,M1
2042,CA,454200,0.5121092029942756,M2
2042,CA,454300,0.5119964780981731,M3
2042,CA,454200,0.5121092029942756,M4
2042,CA,452900,0.5120335614926033,M5
2042,CA,565100,0.5121217483631215,HG
2042,CA,561000,0.5121212121212121,SA
2042,CA,371000,0.5121293800539084,FA
2042,BC,41000,0.5121951219512195,LG
2042,BC,51300,0.5126705653021443,M1
2042,BC,50700,0.5128205128205128,M2
2042,BC,52900,0.5122873345935728,M3
2042,BC,52000,0.5134615384615384,M4
2042,BC,55600,0.512589928057554,M5
2042,BC,65000,0.5123076923076924,HG
2042,BC,64500,0.5116279069767442,SA
2042,BC,41300,0.513317191283293,FA
2043,CA,370400,0.5121490280777538,LG
2043,CA,458700,0.5120994113799869,M1
