year,age,F,M,province,proj_scenario
2001,1,0,0,BC,FA
2001,2,0,0,BC,FA
2001,3,0,0,BC,FA
2001,4,0,0,BC,FA
2001,5,0.0031609165808446577,0.001126929006085047,BC,FA
2001,6,0,0,BC,FA
2001,7,0,0,BC,FA
2001,8,0,0,BC,FA
2001,9,0,0,BC,FA
2001,10,0,0,BC,FA
2001,11,0,0,BC,FA
2001,12,0,0,BC,FA
2001,13,0,0,BC,FA
2001,14,0,0,BC,FA
2001,15,0,0,BC,FA
2001,16,0,0,BC,FA
2001,17,0,0,BC,FA
2001,18,0,0,BC,FA
2001,19,0,0,BC,FA
2001,20,0,0,BC,FA
2001,21,0,0,BC,FA
2001,22,0,0,BC,FA
2001,23,0,0,BC,FA
2001,24,0,0,BC,FA
2001,25,0,0,BC,FA
2001,26,0,0.0027498249404051393,BC,FA
2001,27,0,0,BC,FA
2001,28,0,0,BC,FA
2001,29,0,0,BC,FA
2001,30,0,0,BC,FA
2001,31,0,0,BC,FA
2001,32,0,0,BC,FA
2001,33,0,0,BC,FA
2001,34,0,0,BC,FA
2001,35,0,0,BC,FA
2001,36,0,4.037366279906609e-6,BC,FA
2001,37,0,0,BC,FA
2001,38,0,7.792151211131207e-4,BC,FA
2001,39,0,0,BC,FA
2001,40,0,5.706974828117328e-4,BC,FA
2001,41,0,0,BC,FA
2001,42,0,0,BC,FA
2001,43,0,0.0014717130745333228,BC,FA
2001,44,0,0,BC,FA
2001,45,0,0,BC,FA
2001,46,0,0,BC,FA
2001,47,0,0,BC,FA
2001,48,0,0,BC,FA
2001,49,0,0,BC,FA
2001,50,0,0,BC,FA
2001,51,7.848953876217408e-4,0.0010812955302188616,BC,FA
2001,52,0,0,BC,FA
2001,53,0,0,BC,FA
2001,54,0.01345025982256008,0.013233574853862696,BC,FA
2001,55,0,0,BC,FA
2001,56,0,0,BC,FA
2001,57,0,0,BC,FA
2001,58,0,0,BC,FA
2001,59,0,0,BC,FA
2001,60,0,0,BC,FA
2001,61,0,0,BC,FA
2001,62,0,0,BC,FA
2001,63,0,0,BC,FA
2001,64,0,0,BC,FA
2001,65,0,0,BC,FA
2001,66,0,0,BC,FA
2001,67,0,0,BC,FA
2001,68,0.0023605836729328825,0,BC,FA
2001,69,0,0,BC,FA
2001,70,8.58815197246429e-4,0,BC,FA
2001,71,0,0,BC,FA
2001,72,0.0014452174522027418,0,BC,FA
2001,73,0,0,BC,FA
2001,74,0,0,BC,FA
2001,75,0.0011075797852370518,0,BC,FA
2001,76,0,0,BC,FA
2001,77,0.0013761496420600903,9.191702836377982e-4,BC,FA
2001,78,0,0,BC,FA
2001,79,0.00460829064771972,0.0051384831524842346,BC,FA
2001,80,0.0019366014204052285,0.008583183137700406,BC,FA
2001,81,0.008132375424688565,0.011398167723749103,BC,FA
2001,82,0,0,BC,FA
2001,83,5.754857804655945e-4,0.01230878762365816,BC,FA
2001,84,0.007852070387682292,0.01797719348659004,BC,FA
2001,85,0.0021399079162333946,0.011175141980046282,BC,FA
2001,86,0.022565779150579526,0.020001945288753566,BC,FA
2001,87,0.014687490961677294,0.02371341619079602,BC,FA
2001,88,0.02555244565217396,0.01265144082332751,BC,FA
2001,89,0.009443653745416605,0.004373245614035164,BC,FA
2001,90,0.052791006172839515,0.03912805755395678,BC,FA
2001,91,0,0,BC,FA
2001,92,0,0,BC,FA
2001,93,0,0,BC,FA
2001,94,0,0,BC,FA
2001,95,0,0,BC,FA
2001,96,0,0,BC,FA
2001,97,0,0,BC,FA
2001,98,0,0,BC,FA
2001,99,0,0,BC,FA
2001,100,0,0,BC,FA
2002,1,0,0,BC,FA
2002,2,0,0,BC,FA
2002,3,0,2.3348995728462134e-4,BC,FA
2002,4,0.0013192614807874742,8.392512077292388e-4,BC,FA
2002,5,0,0,BC,FA
2002,6,0,6.607055862292763e-4,BC,FA
2002,7,0,0,BC,FA
2002,8,0,0,BC,FA
2002,9,0,0,BC,FA
2002,10,0,0,BC,FA
2002,11,0,0,BC,FA
2002,12,0,0,BC,FA
2002,13,0,0,BC,FA
2002,14,0,0,BC,FA
2002,15,0,0,BC,FA
2002,16,0,0,BC,FA
2002,17,0,0,BC,FA
2002,18,0,0,BC,FA
2002,19,0,0,BC,FA
2002,20,0,0,BC,FA
2002,21,0,0,BC,FA
2002,22,0,0,BC,FA
2002,23,0,0,BC,FA
2002,24,0,0,BC,FA
2002,25,0,0.0073578558848875555,BC,FA
2002,26,5.373280312009779e-4,0.012587784440285694,BC,FA
2002,27,0,0.012087751282825457,BC,FA
2002,28,0,0.0065800758035172895,BC,FA
2002,29,0,0.0034442331785689436,BC,FA
2002,30,0.0016148440584287259,0.004784502121287711,BC,FA
2002,31,0.003623895608729877,0.001840755742649688,BC,FA
2002,32,0.00345315849227982,0.0036003860060588094,BC,FA
2002,33,0,0.0023388347710684948,BC,FA
2002,34,0,0.003607086811070315,BC,FA
2002,35,9.99241648295673e-4,0.0017816800269451892,BC,FA
2002,36,8.012388645855125e-5,0,BC,FA
2002,37,0,0,BC,FA
2002,38,0,0,BC,FA
2002,39,0,0,BC,FA
2002,40,0,0.0014745401606425961,BC,FA
2002,41,0,0.0041498354003542326,BC,FA
2002,42,0,0.004445399335395906,BC,FA
2002,43,0,0.004599122863782023,BC,FA
2002,44,0,0.001626214995483229,BC,FA
2002,45,0,0.0010582843107891087,BC,FA
2002,46,0,0,BC,FA
2002,47,0,0,BC,FA
2002,48,0,0,BC,FA
2002,49,0,0,BC,FA
2002,50,0,0.0018346631699721738,BC,FA
2002,51,0,3.4461991434687073e-4,BC,FA
2002,52,0,0,BC,FA
2002,53,0,0,BC,FA
2002,54,0,0,BC,FA
2002,55,0,0,BC,FA
2002,56,0,0,BC,FA
2002,57,0,0,BC,FA
2002,58,0,0,BC,FA
2002,59,0,0,BC,FA
2002,60,0,0,BC,FA
2002,61,0,0,BC,FA
2002,62,0,0,BC,FA
2002,63,0,0,BC,FA
2002,64,0,0,BC,FA
2002,65,0,0,BC,FA
2002,66,0,0,BC,FA
2002,67,0,0,BC,FA
2002,68,0,0,BC,FA
2002,69,0,0,BC,FA
2002,70,0,0,BC,FA
2002,71,0,0,BC,FA
2002,72,0,0.00218269481709562,BC,FA
2002,73,0,0,BC,FA
2002,74,7.088371407515828e-4,0.0019920435428006146,BC,FA
2002,75,7.324369999253187e-4,0.0022828757187084952,BC,FA
2002,76,0,0.0038137165473048572,BC,FA
2002,77,0,0.003847218288489023,BC,FA
2002,78,0,0.0022849253257070886,BC,FA
2002,79,0.004428817721518998,0.0033605880326176914,BC,FA
2002,80,0.0031865910652918482,0.0021861329780794485,BC,FA
2002,81,0.0066544309312033855,0.008896368442456346,BC,FA
2002,82,0.0076160429722471005,0,BC,FA
2002,83,0.010625257357393851,0.007758367752184276,BC,FA
2002,84,0.01036901610017887,0.013388410411341025,BC,FA
2002,85,0.006685546540787864,0.00476019057702486,BC,FA
2002,86,0.01654755353666457,0.012960461095100604,BC,FA
2002,87,0.01646697310180438,0.018629242712294162,BC,FA
2002,88,0.021198470564434645,0.011406603334625792,BC,FA
2002,89,0.010733122105776153,0.012003541247484774,BC,FA
2002,90,0.01363396834876066,0.014617952755905475,BC,FA
2002,91,0.017269321851453086,0.029566310160427923,BC,FA
2002,92,0.024928929055580827,0.008229988726042789,BC,FA
2002,93,0.011068205424119754,0.02911289763779538,BC,FA
2002,94,0.028164153846153988,0,BC,FA
2002,95,0.0210564705882352,0,BC,FA
2002,96,0.012605056179775224,0.037837725118483496,BC,FA
2002,97,0.016563366733466985,0,BC,FA
2002,98,0,0,BC,FA
2002,99,0,0,BC,FA
2002,100,0,0,BC,FA
2003,1,0,0,BC,FA
2003,2,0,0,BC,FA
2003,3,0,0,BC,FA
2003,4,0,0,BC,FA
2003,5,0,0,BC,FA
2003,6,0,0,BC,FA
2003,7,0,0,BC,FA
2003,8,0,0,BC,FA
2003,9,0,0,BC,FA
2003,10,0,0,BC,FA
2003,11,0,0,BC,FA
2003,12,0,0,BC,FA
2003,13,0,0,BC,FA
2003,14,0,0,BC,FA
2003,15,0,0,BC,FA
2003,16,0,0,BC,FA
2003,17,0,0,BC,FA
2003,18,0,0,BC,FA
2003,19,0,0,BC,FA
2003,20,0,0,BC,FA
2003,21,0,0,BC,FA
2003,22,0,0,BC,FA
2003,23,0,0,BC,FA
2003,24,0.003071412202154862,0,BC,FA
2003,25,0,0.004539788249554946,BC,FA
2003,26,0,0.009655471826719324,BC,FA
2003,27,0.0013463845270012787,0.011784843550570507,BC,FA
2003,28,0,0.007856110223034035,BC,FA
2003,29,0,0,BC,FA
2003,30,0,0.003655943584808017,BC,FA
2003,31,0.003142258517611498,0.002686261852792834,BC,FA
2003,32,0.003568328933474136,0.0029227313566935645,BC,FA
2003,33,0.00399921673400222,0.0020281993138375858,BC,FA
2003,34,0.0016858490196079636,9.357824395757178e-4,BC,FA
2003,35,7.521920175466594e-4,0.002994943503783371,BC,FA
2003,36,0.0026123860234076196,0.002456524237712142,BC,FA
2003,37,0,3.7082116196037883e-4,BC,FA
2003,38,0,0,BC,FA
2003,39,0,0,BC,FA
2003,40,0,0,BC,FA
2003,41,0,6.864692351925581e-4,BC,FA
2003,42,0,0.0013217083727464103,BC,FA
2003,43,0,0.004055156475131132,BC,FA
2003,44,7.04381001079403e-4,0.003054724611973375,BC,FA
2003,45,0,9.894109565014002e-4,BC,FA
2003,46,0,3.26621215761735e-4,BC,FA
2003,47,0,0,BC,FA
2003,48,0,0,BC,FA
2003,49,0,0,BC,FA
2003,50,0,3.2668019846654987e-4,BC,FA
2003,51,0,0.0016279105018618134,BC,FA
2003,52,0,0,BC,FA
2003,53,0,0,BC,FA
2003,54,0,6.175684232744773e-4,BC,FA
2003,55,0,0,BC,FA
2003,56,0,0,BC,FA
2003,57,0,0,BC,FA
2003,58,0,0,BC,FA
2003,59,0,0,BC,FA
2003,60,0,0,BC,FA
2003,61,0,0,BC,FA
2003,62,0,0,BC,FA
2003,63,0,0,BC,FA
2003,64,0,0,BC,FA
2003,65,0,0,BC,FA
2003,66,0,0,BC,FA
2003,67,0,0,BC,FA
2003,68,0,0,BC,FA
2003,69,0,0,BC,FA
2003,70,0,0,BC,FA
2003,71,0,0,BC,FA
2003,72,0,0,BC,FA
2003,73,0,0.0017628660835467898,BC,FA
2003,74,0.0013336478443894744,0,BC,FA
2003,75,0.0018349468446050364,0.002141404796449668,BC,FA
2003,76,0,0.005458427794673318,BC,FA
2003,77,0,0.004134782009644762,BC,FA
2003,78,2.989027531795892e-4,0.0036318354363269,BC,FA
2003,79,0.0054159801346246915,0.005485491729995511,BC,FA
2003,80,0,0.006021954905545393,BC,FA
2003,81,0.0022132902878666577,0.0058449657489980655,BC,FA
2003,82,9.12541599315409e-4,0.0037200653879686154,BC,FA
2003,83,0.004243013352959845,0.002928718867003189,BC,FA
2003,84,0.008888496182218333,0.011071315331010573,BC,FA
2003,85,0.004107869988207717,0.007581479107920947,BC,FA
2003,86,0.004106300780627493,0.013145060812815022,BC,FA
2003,87,0.01425217577706332,0.023541168702542088,BC,FA
