age,prob_death,se,sex,year,province
0,0.00554,9.4e-4,M,1996,BC
1,4.5e-4,2.6e-4,M,1996,BC
2,3e-4,2.2e-4,M,1996,BC
3,2.2e-4,1.8e-4,M,1996,BC
4,1.6e-4,1.6e-4,M,1996,BC
5,1.3e-4,1.4e-4,M,1996,BC
6,1.1e-4,1.3e-4,M,1996,BC
7,1e-4,1.2e-4,M,1996,BC
8,1e-4,1.2e-4,M,1996,BC
9,1e-4,1.2e-4,M,1996,BC
10,1.1e-4,1.3e-4,M,1996,BC
11,1.3e-4,1.4e-4,M,1996,BC
12,1.5e-4,1.5e-4,M,1996,BC
13,1.9e-4,1.7e-4,M,1996,BC
14,2.5e-4,1.9e-4,M,1996,BC
15,3.4e-4,2.2e-4,M,1996,BC
16,4.6e-4,2.6e-4,M,1996,BC
17,6.1e-4,3e-4,M,1996,BC
18,7.8e-4,3.4e-4,M,1996,BC
19,9.5e-4,3.7e-4,M,1996,BC
20,0.0011,4.1e-4,M,1996,BC
21,0.00122,4.2e-4,M,1996,BC
22,0.00129,4.4e-4,M,1996,BC
23,0.00129,4.3e-4,M,1996,BC
24,0.00124,4.1e-4,M,1996,BC
25,0.00118,3.9e-4,M,1996,BC
26,0.00116,3.8e-4,M,1996,BC
27,0.00117,3.9e-4,M,1996,BC
28,0.00123,4e-4,M,1996,BC
29,0.00133,4.1e-4,M,1996,BC
30,0.00148,4.3e-4,M,1996,BC
31,0.00165,4.4e-4,M,1996,BC
32,0.00179,4.5e-4,M,1996,BC
33,0.00189,4.5e-4,M,1996,BC
34,0.00194,4.6e-4,M,1996,BC
35,0.00193,4.6e-4,M,1996,BC
36,0.0019,4.6e-4,M,1996,BC
37,0.0019,4.6e-4,M,1996,BC
38,0.00193,4.7e-4,M,1996,BC
39,0.00199,4.8e-4,M,1996,BC
40,0.00208,4.9e-4,M,1996,BC
41,0.00219,5.1e-4,M,1996,BC
42,0.00232,5.3e-4,M,1996,BC
43,0.00246,5.5e-4,M,1996,BC
44,0.00263,5.8e-4,M,1996,BC
45,0.00281,6e-4,M,1996,BC
46,0.00302,6.2e-4,M,1996,BC
47,0.00326,6.6e-4,M,1996,BC
48,0.00353,6.8e-4,M,1996,BC
49,0.00384,7.1e-4,M,1996,BC
50,0.0042,8.3e-4,M,1996,BC
51,0.0046,8.9e-4,M,1996,BC
52,0.00503,0.00093000000000000005,M,1996,BC
53,0.00551,9.9e-4,M,1996,BC
54,0.00603,0.00108,M,1996,BC
55,0.00661,0.00115,M,1996,BC
56,0.00724,0.00124,M,1996,BC
57,0.00794,0.00132,M,1996,BC
58,0.0087,0.0014,M,1996,BC
59,0.00953,0.00149,M,1996,BC
60,0.01045,0.00156,M,1996,BC
61,0.01146,0.00166,M,1996,BC
62,0.01257,0.00174,M,1996,BC
63,0.01379,0.00182,M,1996,BC
64,0.01513,0.0019,M,1996,BC
