REF_DATE,Projection_scenario,all,birth,reference_to_birth
2018,LG,37058900,385100,96.23188782134511
2018,M1,37058900,385100,96.23188782134511
2018,M2,37058900,385100,96.23188782134511
2018,M3,37058900,385100,96.23188782134511
2018,M4,37058900,385100,96.23188782134511
2018,M5,37058900,385100,96.23188782134511
2018,HG,37058900,385100,96.23188782134511
2018,SA,37058900,385100,96.23188782134511
2018,FA,37058900,385100,96.23188782134511
2019,LG,37383700,373000,100.22439678284182
2019,M1,37466800,383200,97.77348643006263
2019,M2,37466800,383200,97.77348643006263
2019,M3,37466800,383200,97.77348643006263
2019,M4,37466800,383200,97.77348643006263
2019,M5,37466800,383200,97.77348643006263
2019,HG,37584500,394500,95.27122940430925
2019,SA,37569700,394400,95.25786004056795
2019,FA,37398400,373100,100.2369337979094
2020,LG,37705100,367900,102.48736069584126
2020,M1,37873700,385300,98.29665195951206
2020,M2,37873700,385300,98.29665195951206
2020,M3,37873700,385300,98.29665195951206
2020,M4,37873700,385300,98.29665195951206
2020,M5,37873500,385200,98.32165109034268
2020,HG,38094200,404200,94.24591786244433
2020,SA,38059400,404000,94.20643564356436
2020,FA,37739800,368100,102.52594403694648
2021,LG,38019200,364800,104.21929824561404
2021,M1,38284600,387400,98.82447083118224
2021,M2,38284600,387400,98.82447083118224
2021,M3,38284500,387400,98.82421270005163
2021,M4,38284600,387500,98.79896774193548
2021,M5,38284200,387300,98.84895429899304
2021,HG,38609900,412300,93.64516129032258
2021,SA,38550200,412000,93.56844660194174
2021,FA,38078900,365000,104.32575342465753
2022,LG,38322800,362600,105.68891340319912
2022,M1,38694300,389700,99.29253271747498
2022,M2,38694400,389700,99.29278932512189
2022,M3,38694300,389700,99.29253271747498
2022,M4,38694500,389700,99.29304593276879
2022,M5,38693800,389500,99.34223363286264
2022,HG,39133600,419500,93.28629320619785
2022,SA,39044000,419200,93.13931297709924
2022,FA,38412100,362900,105.8476164232571
2023,LG,38615600,360900,106.99806040454419
2023,M1,39102600,391900,99.77698392447053
2023,M2,39102700,391900,99.777239091605
2023,M3,39102500,391800,99.80219499744767
2023,M4,39102800,391900,99.77749425873948
2023,M5,39101800,391600,99.85137895812053
2023,HG,39665600,426200,93.06804317221962
2023,SA,39541600,425800,92.86425551902302
2023,FA,38739000,361200,107.25083056478405
2024,LG,38897400,359300,108.25883662677428
2024,M1,39509100,393900,100.3023610053313
2024,M2,39509200,393900,100.3026148768723
2024,M3,39509000,393900,100.3021071337903
2024,M4,39509500,394000,100.27791878172589
2024,M5,39508000,393700,100.3505207010414
2024,HG,40206000,432400,92.98334875115634
2024,SA,40042900,432000,92.69189814814816
2024,FA,39059300,359700,108.58854601056436
2025,LG,39168400,358000,109.40893854748603
2025,M1,39913500,395900,100.8171255367517
2025,M2,39913600,395900,100.81737812578935
