year,proj_scenario,sex,age,VALUE
2018,LG,B,0,385.1
2018,LG,B,1,385.7
2018,LG,B,2,390.3
2018,LG,B,3,393.4
2018,LG,B,4,396.5
2018,LG,B,5,400.5
2018,LG,B,6,403
2018,LG,B,7,403.2
2018,LG,B,8,411
2018,LG,B,9,413.1
2018,LG,B,10,413
2018,LG,B,11,403.1
2018,LG,B,12,393.3
2018,LG,B,13,388.6
2018,LG,B,14,392.8
2018,LG,B,15,392.1
2018,LG,B,16,399.3
2018,LG,B,17,412.1
2018,LG,B,18,440.1
2018,LG,B,19,463.4
2018,LG,B,20,472.2
2018,LG,B,21,475.8
2018,LG,B,22,489.3
2018,LG,B,23,499.7
2018,LG,B,24,500.5
2018,LG,B,25,505.6
2018,LG,B,26,512.5
2018,LG,B,27,520.7
2018,LG,B,28,524
2018,LG,B,29,510.6
2018,LG,B,30,501.3
2018,LG,B,31,504.9
2018,LG,B,32,514.8
2018,LG,B,33,515.3
2018,LG,B,34,514.3
2018,LG,B,35,511.3
2018,LG,B,36,508.2
2018,LG,B,37,506.4
2018,LG,B,38,500.3
2018,LG,B,39,488.2
2018,LG,B,40,479.7
2018,LG,B,41,478.2
2018,LG,B,42,477.5
2018,LG,B,43,476.4
2018,LG,B,44,467.1
2018,LG,B,45,466.5
2018,LG,B,46,473.6
2018,LG,B,47,490.8
2018,LG,B,48,490.3
2018,LG,B,49,484.4
2018,LG,B,50,480.7
2018,LG,B,51,485.3
2018,LG,B,52,510.8
2018,LG,B,53,543.1
2018,LG,B,54,558.3
2018,LG,B,55,561
2018,LG,B,56,547.5
2018,LG,B,57,549.6
2018,LG,B,58,540.7
2018,LG,B,59,527.4
2018,LG,B,60,519.8
2018,LG,B,61,505.9
2018,LG,B,62,489.9
2018,LG,B,63,480.7
2018,LG,B,64,459.9
2018,LG,B,65,436.9
2018,LG,B,66,417.7
2018,LG,B,67,405.7
2018,LG,B,68,393.3
2018,LG,B,69,382.1
2018,LG,B,70,377.3
2018,LG,B,71,370.8
2018,LG,B,72,314
2018,LG,B,73,287.8
2018,LG,B,74,275.3
2018,LG,B,75,259.5
2018,LG,B,76,236.7
2018,LG,B,77,221
2018,LG,B,78,202.7
2018,LG,B,79,190.1
2018,LG,B,80,176.7
2018,LG,B,81,162.5
2018,LG,B,82,154.5
2018,LG,B,83,141.9
2018,LG,B,84,130.3
2018,LG,B,85,122.8
2018,LG,B,86,112.8
2018,LG,B,87,102.5
2018,LG,B,88,89.6
2018,LG,B,89,76.5
2018,LG,B,90,66.6
2018,LG,B,91,55.7
2018,LG,B,92,46.6
2018,LG,B,93,38.1
2018,LG,B,94,30.6
2018,LG,B,95,23.6
2018,LG,B,96,18
2018,LG,B,97,13.2
2018,LG,B,98,9.3
2018,LG,B,99,5.7
2018,LG,B,100,10
2018,LG,M,0,197.3
2018,LG,M,1,197.8
2018,LG,M,2,199.9
2018,LG,M,3,201.5
2018,LG,M,4,202.6
2018,LG,M,5,205.2
2018,LG,M,6,205.7
2018,LG,M,7,205.9
2018,LG,M,8,209.4
2018,LG,M,9,210.6
2018,LG,M,10,210
2018,LG,M,11,205.1
2018,LG,M,12,200.1
2018,LG,M,13,198.1
2018,LG,M,14,200.1
2018,LG,M,15,200
2018,LG,M,16,204
2018,LG,M,17,211.2
2018,LG,M,18,226.8
2018,LG,M,19,240.8
2018,LG,M,20,245.6
2018,LG,M,21,248.6
2018,LG,M,22,254.5
2018,LG,M,23,261.4
2018,LG,M,24,261.2
2018,LG,M,25,262.6
2018,LG,M,26,264.6
2018,LG,M,27,268.2
2018,LG,M,28,268.7
2018,LG,M,29,260.8
2018,LG,M,30,254.1
2018,LG,M,31,255.4
2018,LG,M,32,260.7
2018,LG,M,33,259.9
2018,LG,M,34,258.4
2018,LG,M,35,255.6
2018,LG,M,36,253.1
2018,LG,M,37,252
2018,LG,M,38,248.3
2018,LG,M,39,241.2
2018,LG,M,40,237.5
2018,LG,M,41,236.3
2018,LG,M,42,236.2
2018,LG,M,43,235.9
2018,LG,M,44,230.8
2018,LG,M,45,231.4
2018,LG,M,46,235.4
2018,LG,M,47,244.2
2018,LG,M,48,244
2018,LG,M,49,240.5
2018,LG,M,50,238.9
2018,LG,M,51,241.5
2018,LG,M,52,255.2
2018,LG,M,53,271.1
2018,LG,M,54,278.9
2018,LG,M,55,280
2018,LG,M,56,272.7
2018,LG,M,57,273.1
2018,LG,M,58,268.2
2018,LG,M,59,260.9
2018,LG,M,60,257.5
2018,LG,M,61,249.3
2018,LG,M,62,241.2
2018,LG,M,63,235.5
2018,LG,M,64,224.1
2018,LG,M,65,212.7
2018,LG,M,66,203.2
2018,LG,M,67,197.3
2018,LG,M,68,190.5
2018,LG,M,69,184.5
2018,LG,M,70,181.7
2018,LG,M,71,178.2
2018,LG,M,72,150.6
2018,LG,M,73,137.7
2018,LG,M,74,131.2
2018,LG,M,75,123
2018,LG,M,76,111
2018,LG,M,77,102.3
2018,LG,M,78,93.1
2018,LG,M,79,86.6
2018,LG,M,80,79.8
2018,LG,M,81,72.5
2018,LG,M,82,68
2018,LG,M,83,61.3
2018,LG,M,84,55.5
2018,LG,M,85,51.3
2018,LG,M,86,45.9
2018,LG,M,87,40.3
2018,LG,M,88,34.2
2018,LG,M,89,28.1
2018,LG,M,90,23.3
2018,LG,M,91,18.6
2018,LG,M,92,14.8
2018,LG,M,93,11.5
2018,LG,M,94,8.5
2018,LG,M,95,6.2
2018,LG,M,96,4.5
2018,LG,M,97,3.3
2018,LG,M,98,2.1
2018,LG,M,99,1.1
2018,LG,M,100,1.8
2018,LG,F,0,187.7
2018,LG,F,1,187.9
2018,LG,F,2,190.5
2018,LG,F,3,191.9
2018,LG,F,4,193.9
2018,LG,F,5,195.3
2018,LG,F,6,197.3
2018,LG,F,7,197.4
2018,LG,F,8,201.6
2018,LG,F,9,202.5
2018,LG,F,10,203
2018,LG,F,11,198
2018,LG,F,12,193.2
2018,LG,F,13,190.5
2018,LG,F,14,192.8
2018,LG,F,15,192
2018,LG,F,16,195.3
2018,LG,F,17,200.9
2018,LG,F,18,213.4
2018,LG,F,19,222.6
2018,LG,F,20,226.6
2018,LG,F,21,227.2
2018,LG,F,22,234.7
2018,LG,F,23,238.3
2018,LG,F,24,239.3
2018,LG,F,25,243
2018,LG,F,26,248
2018,LG,F,27,252.5
2018,LG,F,28,255.4
2018,LG,F,29,249.8
2018,LG,F,30,247.2
2018,LG,F,31,249.5
2018,LG,F,32,254.2
2018,LG,F,33,255.4
2018,LG,F,34,255.9
2018,LG,F,35,255.7
2018,LG,F,36,255.1
2018,LG,F,37,254.4
2018,LG,F,38,251.9
2018,LG,F,39,247
2018,LG,F,40,242.2
2018,LG,F,41,242
2018,LG,F,42,241.3
2018,LG,F,43,240.4
2018,LG,F,44,236.3
2018,LG,F,45,235
2018,LG,F,46,238.2
2018,LG,F,47,246.7
2018,LG,F,48,246.3
2018,LG,F,49,243.9
2018,LG,F,50,241.8
2018,LG,F,51,243.8
2018,LG,F,52,255.6
2018,LG,F,53,272
2018,LG,F,54,279.4
2018,LG,F,55,281
2018,LG,F,56,274.8
2018,LG,F,57,276.5
2018,LG,F,58,272.5
2018,LG,F,59,266.5
2018,LG,F,60,262.3
2018,LG,F,61,256.5
2018,LG,F,62,248.8
2018,LG,F,63,245.2
2018,LG,F,64,235.8
2018,LG,F,65,224.2
2018,LG,F,66,214.5
2018,LG,F,67,208.4
2018,LG,F,68,202.7
2018,LG,F,69,197.6
2018,LG,F,70,195.6
2018,LG,F,71,192.6
2018,LG,F,72,163.5
2018,LG,F,73,150
2018,LG,F,74,144.1
2018,LG,F,75,136.5
2018,LG,F,76,125.7
2018,LG,F,77,118.7
2018,LG,F,78,109.6
2018,LG,F,79,103.5
2018,LG,F,80,97
2018,LG,F,81,90
2018,LG,F,82,86.5
2018,LG,F,83,80.6
2018,LG,F,84,74.8
2018,LG,F,85,71.5
2018,LG,F,86,66.9
2018,LG,F,87,62.1
2018,LG,F,88,55.4
2018,LG,F,89,48.4
2018,LG,F,90,43.3
2018,LG,F,91,37
2018,LG,F,92,31.8
2018,LG,F,93,26.7
2018,LG,F,94,22.1
2018,LG,F,95,17.5
2018,LG,F,96,13.5
2018,LG,F,97,9.9
2018,LG,F,98,7.2
2018,LG,F,99,4.6
2018,LG,F,100,8.2
2018,M1,B,0,385.1
2018,M1,B,1,385.7
2018,M1,B,2,390.3
2018,M1,B,3,393.4
2018,M1,B,4,396.5
2018,M1,B,5,400.5
2018,M1,B,6,403
2018,M1,B,7,403.2
2018,M1,B,8,411
2018,M1,B,9,413.1
2018,M1,B,10,413
2018,M1,B,11,403.1
2018,M1,B,12,393.3
2018,M1,B,13,388.6
2018,M1,B,14,392.8
2018,M1,B,15,392.1
2018,M1,B,16,399.3
2018,M1,B,17,412.1
2018,M1,B,18,440.1
2018,M1,B,19,463.4
2018,M1,B,20,472.2
2018,M1,B,21,475.8
2018,M1,B,22,489.3
2018,M1,B,23,499.7
2018,M1,B,24,500.5
2018,M1,B,25,505.6
2018,M1,B,26,512.5
2018,M1,B,27,520.7
2018,M1,B,28,524
2018,M1,B,29,510.6
2018,M1,B,30,501.3
2018,M1,B,31,504.9
2018,M1,B,32,514.8
2018,M1,B,33,515.3
2018,M1,B,34,514.3
2018,M1,B,35,511.3
2018,M1,B,36,508.2
2018,M1,B,37,506.4
2018,M1,B,38,500.3
2018,M1,B,39,488.2
2018,M1,B,40,479.7
2018,M1,B,41,478.2
2018,M1,B,42,477.5
2018,M1,B,43,476.4
2018,M1,B,44,467.1
2018,M1,B,45,466.5
2018,M1,B,46,473.6
2018,M1,B,47,490.8
2018,M1,B,48,490.3
2018,M1,B,49,484.4
2018,M1,B,50,480.7
2018,M1,B,51,485.3
2018,M1,B,52,510.8
2018,M1,B,53,543.1
2018,M1,B,54,558.3
2018,M1,B,55,561
2018,M1,B,56,547.5
2018,M1,B,57,549.6
